PSA_Id,Domain,English,Kiswahili,Dholuo,Somali,Class,Source
33,Education,All dormitories must have emergency exits – inspection starts Dec 1!,Bwenzi wote lazima wawe na njia za dharura za kutokea - ukaguzi unaanza Desemba 1!,Od nindo duto nyaka bed gi dhoudi mag geng'o masira chakre Desemba 1!,Dhammaan qolka hoyga waa in ay leeyihiin albaabada degdegga ah. Kormeerka wuxuu bilaabmayaa 1-da Diseembar!,PSA,original_baseline_dataset
34,Education,All Form 3 students must register as voters this week – no excuses!,Wanafunzi wote wa kidato cha 3 lazima wajiandikishe kama wapiga kura wiki hii - hakuna visingizio!,Jopuonjre duto mag Form 3 nyaka ndik nyingegi e list mar joma biro yiero e juma ma kawuononi onge ng'at ma biro ng'wononegi!,Dhamaan ardayda fasalka 3aad waa in ay isdiiwaangaliyaan sida codbixiyayaasha todobaadkan.,PSA,original_baseline_dataset
35,Education,All Form Four students must register as voters before leaving school – IEBC directive.,Wanafunzi wote wa kidato cha nne lazima wajiandikishe kama wapiga kura kabla ya kuondoka shuleni - maagizo ya IEBC.,Jopuonjre duto mag klas ang'wen nyaka ndik nyinggi e list mar joma biro yiero kapok giwuok e skul kaluwore gi chik mar IEBC.,Dhammaan ardayda fasalka afraad waa in ay iska diiwaangeliyaan codbixiyayaasha ka hor inta aysan ka bixin dugsiga.,PSA,original_baseline_dataset
36,Education,All Grade 6 learners automatically placed in junior secondary – no exam needed.,"Wanafunzi wote wa Darasa la 6 huwekwa kiotomatiki katika shule ya upili ya junior ""hakuna mtihani unaohitajika.""",Jopuonjre duto mag klas mar auchiel ne iketo e sekondari mar sekondari maonge penj madwarore.,Dhamaan ardayda fasalka 6aad waxaa si toos ah loogu dhigaa dugsiga dhexe ee hoose iyada oo aan loo baahnayn imtixaan.,PSA,original_baseline_dataset
37,Education,All public university students to get free data bundles for e-learning – Safaricom partners.,"Wanafunzi wote wa vyuo vikuu vya umma watapata vifurushi vya data bila malipo kwa ajili ya kujifunza mtandaoni ""Washirika wa Safaricom.""",Jopuonjre duto mag yunivasiti mag sirkal mondo oyud data maonge chudo mar e-puonjruok ma jo Safaricom timo.,Dhammaan ardayda jaamacadaha dadweynaha si ay u helaan xogta lacag la'aanta ah ee loogu talagalay barashada elektaroonigga ah waa wada-hawlgalayaasha Safaricom.,PSA,original_baseline_dataset
38,Education,All refugee children in Kenya to join public schools from January – no fees.,"Watoto wote wakimbizi nchini Kenya watajiunga na shule za umma kuanzia Januari ""hakuna ada.""",Nyithindo duto moringo thuchegi e Kenya mondo odonj e skunde mag sirkal chakre Januar maonge chudo.,Dhamaan caruurta qaxootiga ah ee Kenya si ay u galaan dugsiyada dadweynaha laga bilaabo Janaayo waa lacag la'aan.,PSA,original_baseline_dataset
40,Education,All schools get Ksh 10M for ICT upgrade – principal must apply by Nov 30!,"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",Skunde duto yudo Ksh 10M mar medo lony e yore mag ICT.,Dhamaan dugsiyada hela Ksh 10M ee kor u qaadista ICT waa in ay codsadaan 30 November!,PSA,original_baseline_dataset
41,Education,All schools get Ksh 15M for library upgrade – apply before Dec 15!,Shule zote zinapata Ksh 15M kwa ajili ya uboreshaji wa maktaba ... Shule zote zinaweka CCTV + kuajiri walinzi ifikapo Desemba 31 – Maagizo ya Wizara au kufungwa kwa uso!,"Skunde duto yudo Ksh 15M mar medo kuonde somo e laibrari, timuru kamano kapok Desemba 15 ochopo!",Dugsiyada oo dhami waxay helayaan Ksh 15M si ay u cusbooneysiiyaan maktabadda. Codso ka hor 15-ka Diseembar!,PSA,original_baseline_dataset
42,Education,All schools get Ksh 2M digital lab grant – principal must apply by Friday.,Shule zote zapata ruzuku ya maabara ya kidijitali ya Ksh 2M – mkuu wa shule lazima aombe ifikapo Ijumaa.,Skunde duto biro yudo Ksh 2M mar kony mar lab dijitol.,Dhammaan dugsiyada helitaanka deeqaha Ksh 2M digital lab waa in ay codsadaan ilaa Jimcaha.,PSA,original_baseline_dataset
43,Education,All schools get Ksh 5M for perimeter wall + gate – works start Jan!,Shule zote zapata Ksh 5M kwa ajili ya ukuta wa mzunguko + lango – kazi zinaanza Januari!,Skunde duto yudo Ksh 5M mar gero ohinga kod rangach chakre Jan!,Dugsiyada oo dhami waxay helayaan Ksh 5M darbiga xuduudda + iridda. Shaqooyinka ayaa bilaabanaya Jan!,PSA,original_baseline_dataset
44,Education,All schools get Ksh 5M for science lab upgrade – apply before Dec 5!,Shule zote zapata Ksh 5M kwa ajili ya uboreshaji wa maabara ya sayansi – tuma maombi kabla ya Desemba 5!,Skunde duto yudo Ksh 5M mar medo lony mar lab mar sayans. Tiuru kapok Desemba 5!,Dugsiyada oo dhami waxay helayaan Ksh 5M si ay u cusbooneysiiyaan shaybaarka sayniska waxay codsan karaan ka hor 5-ta Diseembar!,PSA,original_baseline_dataset
45,Education,All schools install CCTV + hire guards by Dec 31 – Ministry directive or face closure!,Shule zote zaweka CCTV + kuajiri walinzi ifikapo Desemba 31 – Maagizo ya Wizara au tutalazimika kufungwa!,"Skunde duto onego oket kamera mag CCTV + kendo gikaw jorit e kind Desemba 31 kaluwore gi chik mar Migawo mar somo, ka ok kamano to ibiro loro skundegi!",Dugsiyada oo dhami waxay rakibayaan CCTV + waxay shaqaaleysiiyaan ilaalada 31-ka Diseembar marka laga reebo tilmaamaha Wasaaradda ama waa la xiraa!,PSA,original_baseline_dataset
46,Education,All schools must conduct fire drill before Dec 20 – no excuses!,"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",Skunde duto nyaka tim ikruok ne masira mar mach kapok Desemba 20 ochopo.,Dugsiyada oo dhan waa inay qabtaan tababarka dab-damiska ka hor 20-ka Diseembar.,PSA,original_baseline_dataset
47,Education,All schools must have functional GBV reporting desk – inspection starts Dec 1!,"Shule zote lazima ziwe na dawati linalofanya kazi la kuripoti GBV ""ukaguzi unaanza Desemba 1!",Skunde duto nyaka bed gi kuonde ma ji nyalo ndikoe weche mag timbe gero mag nindruok chakre Desemba 1!,Dugsiyada oo dhan waa in ay lahaadaan xafiis shaqo oo warbixinta GBV ah. Kormeerka wuxuu bilaabmayaa 1-da Diseembar!,PSA,original_baseline_dataset
48,Education,All schools must screen for TB before reopening – free testing starts Monday!,"Shule zote lazima zichunguzwe kwa TB kabla ya kufungua tena ""upimaji wa bure"" unaanza Jumatatu!",Skunde duto nyaka tim nonro mar TB kapok ochak timo nonro maonge chudo chakre Tich Ariyo!,Dugsiyada oo dhan waa in ay baaritaan ku sameeyaan cudurka TB ka hor inta aysan dib u furmin baaritaanka bilaashka ah wuxuu bilaabmayaa Isniinta!,PSA,original_baseline_dataset
49,Education,All teachers get free medical cover upgrade – NHIF to full package Jan 1!,"Walimu wote wanapata uboreshaji wa bima ya matibabu bila malipo ""NHIF"" hadi kifurushi kamili Januari 1!",Jopuonje duto yudo thieth maonge chudo NHIF biro medore e paket duto Jan 1!,Macalimiinta oo dhan waxay helayaan lacag la'aan kor u qaadista caymiska caafimaad ee NHIF ilaa xirmada buuxda Janaayo 1!,PSA,original_baseline_dataset
50,Education,All TTC students must complete civic education module before graduation – KICD directive.,"Wanafunzi wote wa TTC lazima wamalize moduli ya elimu ya uraia kabla ya kuhitimu ""agizo la KICD"".",Jopuonjre duto mag TTC nyaka tiek somo mar somo mar dak mar oganda kapok gi tieko tiegruok.,Dhamaan ardayda TTC waa inay dhammeeyaan koorsada waxbarashada rayidka ah ka hor inta aysan qalinjabin tilmaamaha KICD.,PSA,original_baseline_dataset
53,Education,"All TVET students get Ksh 8,000 monthly stipend from January – confirm admission first!","Wanafunzi wote wa TVET wanapata posho ya kila mwezi ya Ksh 8,000 kuanzia Januari thibitisha kwanza kujiunga!","Jopuonjre duto mag TVET yudo Ksh 8,000 dwe ka dwe chakre Januar yie mondo orwaki mokwongo!","Dhamaan ardayda TVET waxay helayaan Ksh 8,000 oo mushaar bille ah laga bilaabo Janaayo.",PSA,original_baseline_dataset
56,Education,All universities must host voter registration centers – IEBC order.,Vyuo vikuu vyote lazima viwe na vituo vya usajili wa wapiga kura '¢'¬â€œ agizo la IEBC.,Yunivasiti duto nyaka bed gi kuonde ma ji nyalo ndikoe joma dhi e yiero kaluwore gi chik mar IEBC.,Dhammaan jaamacadaha waa inay martigeliyaan xarumaha diiwaangelinta codbixiyayaasha amarka IEBC.,PSA,original_baseline_dataset
57,Education,All university students get free 50GB data bundle – activate with .ac.ke email now!,Wanafunzi wote wa vyuo vikuu wanapata kifurushi cha data cha 50GB bila malipo '¢'¬â€œ anzisha kwa barua pepe ya .ac.ke sasa!,Jopuonjre duto mag yunivasiti yudo bundle mar data mar 50GB ma onge chudo tiyo gi .ac.ke e-mail sani!,Dhamaan ardayda jaamacadaha ah waxay helayaan 50GB oo lacag la'aan ah oo xog ah oo ay ku shaqeynayaan emaylka .ac.ke hadda!,PSA,original_baseline_dataset
58,Education,Anti-bullying week starts Monday – report via 0800721524 or school counselor!,Wiki ya kupambana na uonevu inaanza Jumatatu '¢'¬â€œ ripoti kupitia 0800721524 au mshauri wa shule!,Juma mar kedo gi timbe gero chakore Tich Ariyo. Riwri gi laktar mar skul e 0800721524!,Toddobaadka ka hortagga dhibaatadu wuxuu bilaabmayaa Isniinta. Warbixinta telefoonka 0800721524 ama lataliyaha dugsiga!,PSA,original_baseline_dataset
99,Education,Bursary fraud: Only use official county portals – ignore WhatsApp groups!,Tahadhari ya ulaghai wa ufadhili wa masomo: Tuma maombi kupitia lango rasmi za kaunti pekee puuza matapeli wa WhatsApp.,Buono pesa mar bursary: Ti mana gi websait mag county to kik iluw grup mag WhatsApp!,"Xadgudubka deeq waxbarasho: Isticmaal kaliya boggaga rasmiga ah ee gobolka, iska indha tiri kooxaha WhatsApp!",PSA,original_baseline_dataset
104,Education,Civic education exam Dec 10 – download past paper from KNEC now!,Mtihani wa elimu ya uraia Desemba 10 – pakua karatasi ya zamani kutoka KNEC sasa!,Nonro mar tiegruok mar oganda Desemba 10 donjo e penj mar KNEC sani!,Imtixaanka Waxbarashada Rayidka ah 10-ka Diseembar Download warqadda hore ee KNEC hadda!,PSA,original_baseline_dataset
105,Education,Civic education exam leaks online – download official version from KNEC before fake ones spread!,Mtihani wa elimu ya uraia uvujaji mtandaoni – pakua toleo rasmi kutoka KNEC kabla ya zile bandia kusambaa!,Nonro mar tiegruok mar oganda ji ne oyudi e intanet download official version from KNEC ka pok oyud moko mag miriambo!,Imtixaanka waxbarashada shacabka ayaa laga daadiyay internetka. Soo dejiso nooca rasmiga ah ee KNEC ka hor inta aan la faafin kuwa been abuurka ah!,PSA,original_baseline_dataset
106,Education,Civic education exam set for December 5 – download free notes from KICD portal today.,Mtihani wa elimu ya uraia umepangwa Desemba 5 – pakua madokezo ya bure kutoka lango la KICD leo.,Nonro mar somo mar dak mar jopiny (civic education exam) ma ibiro tim Desemba 5 ibiro go e KICD kawuono.,"Imtixaanka waxbarashada rayidka ah ee loo qorsheeyay 5-ta Diseembar, waxaad ka soo dejisan kartaa qoraallo bilaash ah bogga KICD maanta.",PSA,original_baseline_dataset
107,Education,Civic education now 25% of Grade 9 final grade – study or fail!,Elimu ya uraia sasa 25% ya darasa la mwisho la Daraja la 9 – soma au ushindwe!,"Puonjruok e wi dak mar oganda sani miyo ji 25 kuom 100 e klas mar 9 dhi e somo mogik, to ka ok kamano, to ok gipuonjre!",Waxbarashada rayidka ah hadda 25% fasalka 9aad ee fasalka ugu dambeeya waxay bartaan ama guuldareystaan!,PSA,original_baseline_dataset
108,Education,Civic education now 30% of Grade 9 final score – download free notes from KICD TODAY!,Elimu ya uraia sasa 30% ya alama ya mwisho ya Daraja la 9 – pakua madokezo ya bure kutoka KICD TODAY!,Puonjruok mar oganda sani 30% mar penj mogik mar klas 9 download free notes from KICD TODAY!,Waxbarashada rayidka ah hadda 30% dhibcaha ugu dambeeya ee fasalka 9aad - kala soo bax qoraallo bilaash ah KICD TODAY!,PSA,original_baseline_dataset
109,Education,Civic education now 40% of Grade 9 score – free notes on KICD portal!,Elimu ya uraia sasa 40% ya alama ya Daraja la 9 – madokezo ya bure kwenye lango la KICD!,Puonjruok mar dak mar jopiny sani miyo pasent 40 mar josomo ma ni e klas mar 9 yudo somo ma onge chudo e websait mar KICD!,Waxbarashada rayidka ah hadda 40% dhibcaha fasalka 9aad waa qoraalo bilaash ah oo ku yaal bogga KICD!,PSA,original_baseline_dataset
111,Education,Civic education now carries 20% weight in Grade 9 assessment – study hard.,Elimu ya uraia sasa ina uzito wa 20% katika tathmini ya Darasa la 9 – soma kwa bidii.,Puonjruok e wi dak mar oganda sani nigi pek mar pasent 20 e somo mar penj mar klas mar 9 e skul mar Hard.,Waxbarashada rayidka ah hadda waxay qaadataa 20% miisaanka qiimeynta fasalka 9aad ee si adag loo barto.,PSA,original_baseline_dataset
138,Education,Cyberbullying hotline 0800721524 – report harmful posts anonymously NOW!,Simu ya dharura ya unyanyasaji mtandaoni 0800721524 ...,Cyberbullying hotline 0800721524 chiwo ripot mag weche maricho ma ok oyangre KINDEGI!,Telefoonka internetka ee 0800721524 ayaa si qarsoodi ah u soo sheegaya qoraallada waxyeelada leh!,PSA,original_baseline_dataset
141,Education,Democracy clubs must meet weekly – Ministry directive effective immediately!,Vilabu vya demokrasia lazima vikutane kila wiki agizo la Wizara likianza kutumika mara moja!,"Riwruoge mag demokrasi nyaka chop chike mag Migawo mar weche thieth juma ka juma, kochakore sani!",Kooxaha dimuqraadiyadda waa in ay isugu yimaadaan toddobaadle si deg deg ah u dhaqan galaan tilmaamaha wasaaradda.,PSA,original_baseline_dataset
154,Education,Download free KCSE 2025 revision papers now – all subjects available.,Pakua karatasi za marekebisho za KCSE 2025 bila malipo sasa – masomo yote yanayopatikana.,Download free KCSE 2025 revision papers now all subjects available. Download free KCSE 2025 revision papers now all subjects available.,Soo dejiso waraaqaha dib-u-eegista KCSE 2025 oo bilaash ah oo hadda la heli karo dhammaan maadooyinka la heli karo.,PSA,original_baseline_dataset
180,Education,"Education Cabinet Secretary George Magoha outlined eight critical measures for schools resuming classes—targeted initially at Grades 4, Class?8, and Form?4.","Waziri wa Elimu George Magoha alielezea hatua nane muhimu kwa shule zinazoanza tena madarasa - zilizolengwa awali katika Darasa la 4, Darasa la 8, na Kidato cha 4.","Secretary mar Education Cabinet, George Magoha ne oketo okenge aboro madongo mag duoko somo e skunde - kochakore e klas mar 4, Class? 8, kod Form? 4.","Xoghayaha Golaha Wasiirada ee Waxbarashada George Magoha ayaa soo bandhigay sideed tallaabo oo muhiim ah oo loogu talagalay dugsiyada dib u bilaabanaya fasallada markii hore loogu talagalay fasallada 4, fasalka 8, iyo Form 4.",PSA,original_baseline_dataset
184,Education,Eliminate school levies completely – CS orders nationwide crackdown!,Ondoa kabisa ushuru wa shule CS yaamuru msako wa kitaifa!,Golo osuru duto mag somo e skunde.,Si buuxda u baabi'i kharashaadka dugsiyada. Amarrada CS ee dalka oo dhan!,PSA,original_baseline_dataset
226,Education,Every Form Two student must join a civic education club – Ministry order.,Kila mwanafunzi wa kidato cha pili lazima ajiunge na klabu ya elimu ya uraia '¬â€œ agizo la Wizara.,Japuonjre ka japuonjre mar Form Two nyaka donj e klab moro mar somo mar oganda kaluwore gi chik ma ne ochiw gi Ministry.,Arday kasta oo ka mid ah fasalka labaad waa inuu ku biiraa koox waxbarasho oo dadweyne ah sida uu sheegay Wasaaradda.,PSA,original_baseline_dataset
227,Education,Every school must form a democracy club by November 30 – start today!,Kila shule lazima iunde klabu ya demokrasia ifikapo Novemba 30 '¬â€œ anza leo!,Skul ka skul nyaka chak timo timbegi mar demokrasi kapok Novemba 30 ochopo. Chak kawuono!,Dugsi kasta waa inuu sameeyaa koox dimuqraadiyad ah 30-ka Nofeembar laga bilaabo maanta!,PSA,original_baseline_dataset
228,Education,Every school must have active democracy club – register on education.go.ke!,"Kila shule lazima iwe na klabu hai ya demokrasia "" jiandikishe kwenye education.go.ke!",Skunde duto nyaka bed gi club mar demokrasi ma tiyo e education.go.ke!,Dugsi kasta waa inuu lahaadaa diiwaanka kooxaha dimuqraadiyadda firfircoon ee education.go.ke!,PSA,original_baseline_dataset
229,Education,Every school must hold mock elections Nov 28 – winners get certificates from IEBC!,"Kila shule lazima ifanye uchaguzi wa majaribio Novemba 28 "" €"" washindi watapata vyeti kutoka IEBC!",Skunde duto nyaka tim yiero mar nyasani Nov. 28. Joma olocho yudo satifiket mar IEBC!,Dugsi kastaa waa inuu qabtaa doorasho been abuur ah 28 November guulaha waxay helayaan shahaadooyinka IEBC!,PSA,original_baseline_dataset
243,Education,Final KCSE 2025 revision bundle – 10 years past papers + answers – download NOW!,Kifurushi cha mwisho cha marekebisho ya KCSE 2025 – Karatasi za miaka 10 iliyopita + majibu – pakua SASA!,Final KCSE 2025 revision bundle 10 years past papers + answers download NOW!,Qeybta ugu dambeysa ee dib u eegista KCSE 2025 10 sano ka hor waraaqaha + jawaabaha download NOW!,PSA,original_baseline_dataset
245,Education,Flood alert: Schools in 15 counties to close early – parents collect children NOW!,Rekebisha mustakabali! Jiunge na kozi za ukarabati wa magari.,Chenro mar pi ataro: Skunde e gwenge 15 ibiro loro chon mondo jonyuol ochok nyithindo KINDEGI!,Digniinta fatahaadda: Dugsiyada 15 degmo ayaa xiranaya goor hore. Waalidiinta ayaa caruurta soo ururinaya HADDII!,PSA,original_baseline_dataset
246,Education,Flood-prone schools get Ksh 10M each for drainage – works start Monday!,"Shule zinazokabiliwa na mafuriko zinapata Ksh 10M kila moja kwa ajili ya mifereji ya maji ""kazi zinaanza Jumatatu!",Skunde ma pi nyalo chue yudo Ksh 10M ng'ato ka ng'ato mondo otigo tij lwoko pi chakre Wuok Tich!,Dugsiyada daadka u nugul waxay helayaan Ksh 10M mid kasta oo ka mid ah hawlaha qulqulka ayaa bilaabanaya Isniinta!,PSA,original_baseline_dataset
251,Education,Form 1–4: Register as voters this week or miss 2027 elections!,Kidato cha 1–4: Jiandikishe kama wapiga kura wiki hii au ukose uchaguzi wa 2027!,"Form 14: Riwri e kwan mar joma biro goyo ombulu juma ka juma, ka ok kamano to ok ibi dhi e yiero mar 2027!",Foomka 1aad ee 4aad: Isdiiwaangaliya sida codbixiyeyaasha toddobaadkan ama ka maqnaada doorashada 2027!,PSA,original_baseline_dataset
253,Education,Form One reporting starts January 6 – bring only admission letter and birth certificate.,Kuripoti kidato cha kwanza kunaanza Januari 6 – leta barua ya udahili na cheti cha kuzaliwa pekee.,Form One biro chakore e Januar 6 biro mana gi barupe mag rwako ji e skul kod satifiket mar nyuol.,"Warbixinta foomka koowaad waxay bilaabmaysaa 6-da Janaayo, waxaad keeni kartaa oo keliya waraaqaha gelitaanka iyo shahaadada dhalashada.",PSA,original_baseline_dataset
255,Education,Free 100GB data for all KCSE 2025 candidates – activate with candidate number NOW!,Data ya bure ya GB 100 kwa watahiniwa wote wa KCSE 2025 – anzisha kwa nambari ya mgombea SASA!,"Ng'eny mar data mar GB 100 ma onge chudo ne jogo duto ma dhi e KCSE 2025, timuru kamano sani!",100GB oo xog ah oo lacag la'aan ah oo loogu talagalay dhammaan musharixiinta KCSE 2025 ayaa hadda la shaqeynayaa lambarka musharixiinta!,PSA,original_baseline_dataset
256,Education,Free 200GB data bundle for all teachers – activate with TSC number before Dec 31!,Kifurushi cha data cha GB 200 bila malipo kwa walimu wote – anzisha kwa nambari ya TSC kabla ya Desemba 31!,Keth mar data mar 200GB ma onge chudo ne jopuonj duto ma tiyo gi namba mar TSC kapok Desemba 31 ochopo!,200GB oo xog ah oo lacag la'aan ah oo loogu talagalay macalimiinta oo dhan ayaa lagu shaqeyn doonaa lambarka TSC ka hor 31-ka Diseembar!,PSA,original_baseline_dataset
257,Education,Free Adobe Creative Cloud for all university students – claim with .ac.ke email NOW!,Wingu la Bure la picha na vikaragosi.... Adobe Creative kwa wanafunzi wote wa vyuo vikuu – dai kwa barua pepe ya .ac.ke SASA!,Adobe Creative Cloud ma onge chudo ne jopuonjre duto mag yunivasiti manyisogi gi .ac.ke e-mail KARO!,Adobe Creative Cloud oo lacag la'aan ah oo loogu talagalay dhammaan ardayda jaamacadaha ayaa codsanaya emaylka .ac.ke HALKAN!,PSA,original_baseline_dataset
259,Education,"Free AI & robotics courses for 8,000 youth – register via TVETA portal TODAY!","Kozi za bure za AI na roboti kwa vijana 8,000 – jiandikishe kupitia lango la TVETA LEO!","Puonjruok mar AI & robotics ma onge chudo ne rowere 8,000, donj e TVETA kawuono!","Koorsooyin bilaash ah oo AI & robotics ah oo loogu talagalay 8,000 dhalinyaro ah ayaa iska diiwaangelinaya bogga TVETA maanta!",PSA,original_baseline_dataset
261,Education,Free bus fare for all TVET students reporting in January – present your admission letter.,Nauli ya basi bila malipo kwa wanafunzi wote wa TVET wanaoripoti Januari wasilisha barua yako ya kujiunga.,Ng'ato ang'ata ma dhi e TVET dwe mar Januar nyaka nyis barupe mar kwayo.,Safarka baska ee bilaashka ah ee dhammaan ardayda TVET ee soo bandhiga bisha Janaayo waxay soo bandhigaan warqaddaada gelitaanka.,PSA,original_baseline_dataset
262,Education,Free bus passes + laptops for all TVET reporters in January – collect from institute!,Pasi za basi bila malipo + kompyuta mpakato kwa waandishi wote wa TVET mwezi Januari kusanya kutoka chuo!,Buge mag wuoth ma onge chudo + kompyuta mag lwedo ne jofwambo duto mag TVET e dwe mar Januar e riwruok!,Basaska bilaashka ah + laptops-ka dhammaan wariyeyaasha TVET ee bisha Janaayo ayaa laga soo ururiyaa machadka!,PSA,original_baseline_dataset
263,Education,Free bus passes for all TVET students reporting in January – collect from principal.,Pasi za basi bila malipo kwa wanafunzi wote wa TVET wanaoripoti Januari kusanya kutoka kwa mkuu wa shule.,"Buge mag wuoth ma onge chudo ne jopuonjre duto mag TVET ma biro e dwe mar Januar, ichoko kuom japuonj maduong'.",Baasaboorka baska ee bilaashka ah ee dhammaan ardayda TVET ee soo bandhiga bisha Janaayo waxaa laga soo qaataa macalinka.,PSA,original_baseline_dataset
264,Education,"Free coding bootcamps for 10,000 youth – register via TVETA portal now.","Kambi za mafunzo ya uandishi wa habari bila malipo kwa vijana 10,000 jiandikishe kupitia lango la TVETA sasa.","Kambi mar program ma onge chudo ne rowere 10,000 ma donjo e TVETA sani.","Shaqooyinka barnaamijyada barnaamijka ee bilaashka ah ee loogu talagalay 10,000 oo dhalinyaro ah ayaa hadda ka diiwaangashan bogga TVETA.",PSA,original_baseline_dataset
265,Education,Free counseling for exam stress – call 0800721524 or visit school counselor!,Ushauri nasaha bila malipo kwa msongo wa mawazo wa mtihani piga simu 0800721524 au tembelea mshauri wa shule!,Kony ma onge chudo kuom parruok mag penj luong 0800721524 kata dhi ir jakony mar skul!,La talinta bilaashka ah ee imtixaanka stress wac 0800721524 ama booqo lataliyaha dugsiga!,PSA,original_baseline_dataset
