PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Source,Date,Metadata
11,Education,PSA,"15,000 full secondary scholarships for arid counties ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ apply before Nov 30 via county office!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...","15,000 mar basaris mag sekondari ma opong'o ne counties ma onge pi, kwa kapok Novemba 30 ochopo kokalo kuom ofis mar county!",original_baseline_dataset,2026-07-11,PSA
12,Education,PSA,"2,000 new mental health counselors deployed to secondary schools ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ book today!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""","Jochiw-parogo manyien 2,000 ma ne oor e skunde sekondar, ondikgi kawuono!",original_baseline_dataset,2026-07-11,PSA
13,Education,PSA,"2,014 permanent and pensionable posts for secondary school teachers.","Nafasi 2,014 za kudumu na za kustaafu kwa walimu wa shule za upili.","2,014 ma nyaka chieng’ kendo ma nyalo yudo pension ne jopuonj mag skul sekondar.",original_baseline_dataset,2026-07-11,PSA
14,Education,PSA,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Ufadhili wa masomo 200 wa Stipendium Hungaricum umefunguliwa kwa wanafunzi wa shahada ya kwanza wa Kenya.,Scholarships 200 mag Stipendium Hungaricum oseyawore ne jopuonjre mag Kenya.,original_baseline_dataset,2026-07-11,PSA
15,Education,PSA,"3,000 new special needs teachers deployed ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ your child gets support from Jan!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!","Jopuonj manyien 3,000 ma nigi dwaro makende ne oket e skul.  Nyathni yudo kony kowuok kuom Jan!",original_baseline_dataset,2026-07-11,PSA
16,Education,PSA,500 schools get free counseling rooms ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ book session with your principal!,Shule 500 zinapata vyumba vya ushauri nasaha bila malipo na kuweka miadi na mkuu wa shule!,Skunde 500 yudo ute mag konyruok maonge chudo. Dhi ir japuonj maduong' mondo okonyi!,original_baseline_dataset,2026-07-11,PSA
17,Education,PSA,Access education! Enroll pastoralist children in mobile schools.,Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,Bed gi thuolo mar puonjruok! Ket nyithindo ma jokwath obed e skunde mag wuoth.,original_baseline_dataset,2026-07-11,PSA
18,Education,PSA,Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Yud EduTV kokalo kuom Kenya Education Cloud pile.,original_baseline_dataset,2026-07-11,PSA
19,Education,PSA,Access EduTV via Kenya Education Cloud.,Fikia EduTV kupitia Wingu la Elimu la Kenya.,Yud EduTV kokalo kuom Kenya Education Cloud.,original_baseline_dataset,2026-07-11,PSA
20,Education,PSA,Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,Yudo gik ma itiyogo ma nono! Pogi buge mag somo ma nono ne skul mag gwenge.,original_baseline_dataset,2026-07-11,PSA
21,Education,PSA,Access KPSEA results from December 1 via school portal.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,Inyalo yudo duoko mag KPSEA chakre Desemba 1 kokalo kuom portal mar skul.,original_baseline_dataset,2026-07-11,PSA
22,Education,PSA,"Access KPSEA results via school portal from December 1, 2025.","Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",Yudo duoko mag KPSEA kokalo kuom mbui mar skul chakre tarik 1 dwe mar apar gi ariyo higa mar 2025.,original_baseline_dataset,2026-07-11,PSA
23,Education,PSA,Access results from Dec 1 via portal.,Fikia matokeo kuanzia Desemba 1 kupitia lango.,Yudo duoko chakre tarik 1 dwe mar apar gi ariyo kokalo kuom mbui.,original_baseline_dataset,2026-07-11,PSA
24,Education,PSA,Access results via school portal from December 1.,Pata matokeo kupitia lango la shule kuanzia Desemba 1.,Yudo duoko kokalo kuom mbui mar skul chakre tarik 1 dwe mar apar gi ariyo.,original_baseline_dataset,2026-07-11,PSA
25,Education,PSA,Accessible legal text for learners and public,Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,Ndiko mag chik manyalo yudore ne jopuonjre kod oganda,original_baseline_dataset,2026-07-11,PSA
26,Education,PSA,"Act now! Communities, prevent FGM to protect girls.","Chukua hatua sasa! Jamii, zuia ukeketaji ili kuwalinda wasichana.","Kaw okang' sani! jodak duto, geng'uru nyang'e mar joma nyiri mondo uritgi.",original_baseline_dataset,2026-07-11,PSA
27,Education,PSA,Adult education centers reopen January 13 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register free at any public primary school.,Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13 jiandikishe bure katika shule yoyote ya msingi ya umma.,Skunde mag joma dongo chako tiyo kendo Januar 13. Inyalo donjo maonge chudo e skul moro amora mar piny mar  praimari.,original_baseline_dataset,2026-07-11,PSA
28,Education,PSA,Adult literacy classes resume Jan 13 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register free at chiefÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s office now!,Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,Puonjruok ndiko gi ndiko mar joma dongo dhi nyime Januar 13 donj e ofis maduong' maonge chudo!,original_baseline_dataset,2026-07-11,PSA
29,Education,PSA,All belong! Enroll refugee children in schools today.,Wote ni wa lazima! Waandikishe watoto wakimbizi shuleni leo.,Giduto gin magwa! Ndik nyithindo moringo thuchegi e skundegi kawuono.,original_baseline_dataset,2026-07-11,PSA
30,Education,PSA,"All boarding schools must conduct safety audit by September 30, 2025.","Shule zote za bweni lazima zifanye ukaguzi wa usalama ifikapo Septemba 30, 2025.","Skunde duto ma nigi kar nindo nyaka tim nonro mar ritruok kapok Septemba 30, 2025.",original_baseline_dataset,2026-07-11,PSA
31,Education,PSA,All boarding schools must install fire alarms + sprinklers by Jan 6 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ CS orders!,Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Skunde duto ma nigi boarding nyaka ti gi gik makwedo mach kod gik ma thiro pi kapok ochopo tarik 6 Januar kaluwore gi chike mag CS!,original_baseline_dataset,2026-07-11,PSA
32,Education,PSA,All can learn! Use braille and ramps for disabled students.,Wote wanaweza kujifunza! Tumia braille na ramps kwa wanafunzi walemavu.,Ji duto nyalo puonjore! Ti gi Braille kod kuonde ma nyithindo nyalo kaloe.,original_baseline_dataset,2026-07-11,PSA
33,Education,PSA,All dormitories must have emergency exits ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ inspection starts Dec 1!,Bwenzi wote lazima wawe na njia za dharura za kutokea - ukaguzi unaanza Desemba 1!,Od nindo duto nyaka bed gi dhoudi mag geng'o masira chakre Desemba 1!,original_baseline_dataset,2026-07-11,PSA
34,Education,PSA,All Form 3 students must register as voters this week ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no excuses!,Wanafunzi wote wa kidato cha 3 lazima wajiandikishe kama wapiga kura wiki hii - hakuna visingizio!,Jopuonjre duto mag Form 3 nyaka ndik nyingegi e list mar joma biro yiero e juma ma kawuononi onge ng'at ma biro ng'wononegi!,original_baseline_dataset,2026-07-11,PSA
35,Education,PSA,All Form Four students must register as voters before leaving school ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ IEBC directive.,Wanafunzi wote wa kidato cha nne lazima wajiandikishe kama wapiga kura kabla ya kuondoka shuleni - maagizo ya IEBC.,Jopuonjre duto mag klas ang'wen nyaka ndik nyinggi e list mar joma biro yiero kapok giwuok e skul kaluwore gi chik mar IEBC.,original_baseline_dataset,2026-07-11,PSA
36,Education,PSA,All Grade 6 learners automatically placed in junior secondary ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no exam needed.,"Wanafunzi wote wa Darasa la 6 huwekwa kiotomatiki katika shule ya upili ya junior ""hakuna mtihani unaohitajika.""",Jopuonjre duto mag klas mar auchiel ne iketo e sekondari mar sekondari maonge penj madwarore.,original_baseline_dataset,2026-07-11,PSA
37,Education,PSA,All public university students to get free data bundles for e-learning ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Safaricom partners.,"Wanafunzi wote wa vyuo vikuu vya umma watapata vifurushi vya data bila malipo kwa ajili ya kujifunza mtandaoni ""Washirika wa Safaricom.""",Jopuonjre duto mag yunivasiti mag sirkal mondo oyud data maonge chudo mar e-puonjruok ma jo Safaricom timo.,original_baseline_dataset,2026-07-11,PSA
38,Education,PSA,All refugee children in Kenya to join public schools from January ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no fees.,"Watoto wote wakimbizi nchini Kenya watajiunga na shule za umma kuanzia Januari ""hakuna ada.""",Nyithindo duto moringo thuchegi e Kenya mondo odonj e skunde mag sirkal chakre Januar maonge chudo.,original_baseline_dataset,2026-07-11,PSA
39,Education,PSA,All registered candidates must appear in the attendance register.,Watahiniwa wote waliosajiliwa lazima waonekane kwenye rejista ya mahudhurio.,Jogo duto mosedonjo e skundno nyaka ndik nyingegi e kalatas manyiso kwan mar joma osedhi e skundno.,original_baseline_dataset,2026-07-11,PSA
40,Education,PSA,All schools get Ksh 10M for ICT upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ principal must apply by Nov 30!,"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",Skunde duto yudo Ksh 10M mar medo lony e yore mag ICT.,original_baseline_dataset,2026-07-11,PSA
41,Education,PSA,All schools get Ksh 15M for library upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ apply before Dec 15!,Shule zote zinapata Ksh 15M kwa ajili ya uboreshaji wa maktaba ... Shule zote zinaweka CCTV + kuajiri walinzi ifikapo Desemba 31 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Maagizo ya Wizara au kufungwa kwa uso!,"Skunde duto yudo Ksh 15M mar medo kuonde somo e laibrari, timuru kamano kapok Desemba 15 ochopo!",original_baseline_dataset,2026-07-11,PSA
42,Education,PSA,All schools get Ksh 2M digital lab grant ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ principal must apply by Friday.,Shule zote zapata ruzuku ya maabara ya kidijitali ya Ksh 2M ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ mkuu wa shule lazima aombe ifikapo Ijumaa.,Skunde duto biro yudo Ksh 2M mar kony mar lab dijitol.,original_baseline_dataset,2026-07-11,PSA
43,Education,PSA,All schools get Ksh 5M for perimeter wall + gate ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ works start Jan!,Shule zote zapata Ksh 5M kwa ajili ya ukuta wa mzunguko + lango ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ kazi zinaanza Januari!,Skunde duto yudo Ksh 5M mar gero ohinga kod rangach chakre Jan!,original_baseline_dataset,2026-07-11,PSA
44,Education,PSA,All schools get Ksh 5M for science lab upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ apply before Dec 5!,Shule zote zapata Ksh 5M kwa ajili ya uboreshaji wa maabara ya sayansi ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ tuma maombi kabla ya Desemba 5!,Skunde duto yudo Ksh 5M mar medo lony mar lab mar sayans. Tiuru kapok Desemba 5!,original_baseline_dataset,2026-07-11,PSA
45,Education,PSA,All schools install CCTV + hire guards by Dec 31 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Ministry directive or face closure!,Shule zote zaweka CCTV + kuajiri walinzi ifikapo Desemba 31 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Maagizo ya Wizara au tutalazimika kufungwa!,"Skunde duto onego oket kamera mag CCTV + kendo gikaw jorit e kind Desemba 31 kaluwore gi chik mar Migawo mar somo, ka ok kamano to ibiro loro skundegi!",original_baseline_dataset,2026-07-11,PSA
46,Education,PSA,All schools must conduct fire drill before Dec 20 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no excuses!,"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",Skunde duto nyaka tim ikruok ne masira mar mach kapok Desemba 20 ochopo.,original_baseline_dataset,2026-07-11,PSA
47,Education,PSA,All schools must have functional GBV reporting desk ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ inspection starts Dec 1!,"Shule zote lazima ziwe na dawati linalofanya kazi la kuripoti GBV ""ukaguzi unaanza Desemba 1!",Skunde duto nyaka bed gi kuonde ma ji nyalo ndikoe weche mag timbe gero mag nindruok chakre Desemba 1!,original_baseline_dataset,2026-07-11,PSA
48,Education,PSA,All schools must screen for TB before reopening ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ free testing starts Monday!,"Shule zote lazima zichunguzwe kwa TB kabla ya kufungua tena ""upimaji wa bure"" unaanza Jumatatu!",Skunde duto nyaka tim nonro mar TB kapok ochak timo nonro maonge chudo chakre Tich Ariyo!,original_baseline_dataset,2026-07-11,PSA
49,Education,PSA,All teachers get free medical cover upgrade ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ NHIF to full package Jan 1!,"Walimu wote wanapata uboreshaji wa bima ya matibabu bila malipo ""NHIF"" hadi kifurushi kamili Januari 1!",Jopuonje duto yudo thieth maonge chudo NHIF biro medore e paket duto Jan 1!,original_baseline_dataset,2026-07-11,PSA
50,Education,PSA,All TTC students must complete civic education module before graduation ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ KICD directive.,"Wanafunzi wote wa TTC lazima wamalize moduli ya elimu ya uraia kabla ya kuhitimu ""agizo la KICD"".",Jopuonjre duto mag TTC nyaka tiek somo mar somo mar dak mar oganda kapok gi tieko tiegruok.,original_baseline_dataset,2026-07-11,PSA
51,Education,PSA,All TVET graduates guaranteed 6-month paid internship from January 2026.,Wahitimu wote wa TVET wamehakikishiwa mafunzo ya muda ya miezi 6 yanayolipiwa kuanzia Januari 2026.,Jopuonjre duto ma osetieko tiegruok e weche mag tiegruok kod tiegruok e yore mag teknoloji biro yudo chudo mar dweche auchiel mar internship kochakore Januar 2026.,original_baseline_dataset,2026-07-11,PSA
52,Education,PSA,"All TVET students get Ksh 10,000 monthly stipend + free laptop from Jan!","Wanafunzi wote wa TVET wanapata posho ya Ksh 10,000 ya kila mwezi + kompyuta mpakato bila malipo kuanzia Januari!","Jopuonjre duto mag TVET yudo Ksh 10,000 dwe ka dwe + laptop ma onge chudo koa kuom Jan!",original_baseline_dataset,2026-07-11,PSA
53,Education,PSA,"All TVET students get Ksh 8,000 monthly stipend from January ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ confirm admission first!","Wanafunzi wote wa TVET wanapata posho ya kila mwezi ya Ksh 8,000 kuanzia Januari thibitisha kwanza kujiunga!","Jopuonjre duto mag TVET yudo Ksh 8,000 dwe ka dwe chakre Januar yie mondo orwaki mokwongo!",original_baseline_dataset,2026-07-11,PSA
54,Education,PSA,All TVET students to get free laptops under new digital literacy program.,xxx,Jopuonjre duto mag TVET biro yudo laptop maonge chudo e bwo chenro manyien mar somo kod ndiko.,original_baseline_dataset,2026-07-11,PSA
55,Education,PSA,"All TVET trainees to get Ksh 7,000 monthly stipend starting January.","Wanafunzi wote wa TVET watapata posho ya Ksh 7,000 kila mwezi kuanzia Januari.","Jopuonjre duto mag TVET biro yudo Ksh 7,000 dwe ka dwe chakre Januar.",original_baseline_dataset,2026-07-11,PSA
56,Education,PSA,All universities must host voter registration centers ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ IEBC order.,Vyuo vikuu vyote lazima viwe na vituo vya usajili wa wapiga kura â€šÂ¢â€šÂ¬Ã¢â‚¬Å“ agizo la IEBC.,Yunivasiti duto nyaka bed gi kuonde ma ji nyalo ndikoe joma dhi e yiero kaluwore gi chik mar IEBC.,original_baseline_dataset,2026-07-11,PSA
57,Education,PSA,All university students get free 50GB data bundle ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ activate with .ac.ke email now!,Wanafunzi wote wa vyuo vikuu wanapata kifurushi cha data cha 50GB bila malipo â€šÂ¢â€šÂ¬Ã¢â‚¬Å“ anzisha kwa barua pepe ya .ac.ke sasa!,Jopuonjre duto mag yunivasiti yudo bundle mar data mar 50GB ma onge chudo tiyo gi .ac.ke e-mail sani!,original_baseline_dataset,2026-07-11,PSA
58,Education,PSA,Anti-bullying week starts Monday ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ report via 0800721524 or school counselor!,Wiki ya kupambana na uonevu inaanza Jumatatu â€šÂ¢â€šÂ¬Ã¢â‚¬Å“ ripoti kupitia 0800721524 au mshauri wa shule!,Juma mar kedo gi timbe gero chakore Tich Ariyo. Riwri gi laktar mar skul e 0800721524!,original_baseline_dataset,2026-07-11,PSA
59,Education,PSA,App features logic games based on civic themes,Programu inaangazia michezo ya mantiki kulingana na mada za kiraia,App oting'o tuke mag paro motenore kuom weche mag dak mar oganda,original_baseline_dataset,2026-07-11,PSA
60,Education,PSA,App gives points for learning and reporting,Programu inatoa pointi za kujifunza na kuripoti,App chiwo points kuom puonjruok kod chiwo ripot,original_baseline_dataset,2026-07-11,PSA
61,Education,PSA,Apply for bursaries for needy students 2022.,Tuma maombi ya ufadhili kwa wanafunzi wenye uhitaji 2022.,Lend ne jopuonjre modhier e higa mar 2022.,original_baseline_dataset,2026-07-11,PSA
62,Education,PSA,Apply for TVET bursaries by March 15 via HELB portal.,Tuma maombi ya ufadhili wa TVET ifikapo Machi 15 kupitia lango la HELB.,Inyalo kwayo mondo oyud bursari mag TVET e dwe mar adek tarik 15 kokalo e HELB portal.,original_baseline_dataset,2026-07-11,PSA
63,Education,PSA,Apply for TVET bursaries by March 15 via HELB.,Tuma maombi ya ufadhili wa TVET ifikapo Machi 15 kupitia HELB.,Inyalo kwayo mondo omiyi bursari mar TVET e dwe mar Mach 15 kokalo kuom HELB.,original_baseline_dataset,2026-07-11,PSA
64,Education,PSA,"Apply for TVET bursaries via HELB portal by March 15, 2025.","Tuma maombi ya ufadhili wa TVET ifikapo Machi 15, 2025.","Tim kwayo mar bursary mag TVET kokalo kuom HELB portal e dwe mar Mach 15, 2025.",original_baseline_dataset,2026-07-11,PSA
65,Education,PSA,Apply TVET bursaries by March 15.,Tuma maombi ya ufadhili wa TVET ifikapo Machi 15.,Tiuru gi bursari mag TVET e dwe mar Mach 15.,original_baseline_dataset,2026-07-11,PSA
66,Education,PSA,Artists depict stories of civic justice,Wasanii wanaonyesha hadithi za haki ya kiraia,Jothum nyiso sigendini mag timbe makare mag oganda,original_baseline_dataset,2026-07-11,PSA
67,Education,PSA,Assess school performance 2025.,Tathmini utendaji wa shule 2025.,Nonuru dongruok mosetim e skul e higa mar 2025.,original_baseline_dataset,2026-07-11,PSA
68,Education,PSA,Assess teacher performance via TPAD 2025.,Tathmini utendaji wa walimu kupitia TPAD 2025.,Non kaka jopuonj timo kokalo kuom TPAD 2025.,original_baseline_dataset,2026-07-11,PSA
69,Education,PSA,Assess vocational outcomes 2025.,Tathmini matokeo ya ufundi 2025.,Nono gik ma biro timore ne joma dwaro somo e skul e higa mar 2025.,original_baseline_dataset,2026-07-11,PSA
70,Education,PSA,Attend CBC forum Feb 20 at county hall.,Hudhuria jukwaa la CBC Februari 20 katika ukumbi wa kaunti.,Dhi e romo mar CBC Feb 20 e od bura mar kaunti.,original_baseline_dataset,2026-07-11,PSA
71,Education,PSA,Attend CBC forum on February 20 at county hall.,Hudhuria jukwaa la CBC mnamo Februari 20 katika ukumbi wa kaunti.,Dhi e romo mar CBC e Februar 20 e od bura mar kaunti.,original_baseline_dataset,2026-07-11,PSA
72,Education,PSA,Audit school funds transparently 2023.,Ukaguzi wa fedha za shule kwa uwazi 2023.,Nono pesa mag skunde e yo ma ratiro 2023.,original_baseline_dataset,2026-07-11,PSA
73,Education,PSA,Audit schools! Ensure compliance with fire safety standards.,Ukaguzi wa shule! Hakikisha kufuata viwango vya usalama wa moto.,Nono skunde! Ne ni oluw chike mag geng'o mach.,original_baseline_dataset,2026-07-11,PSA
74,Education,PSA,Back to school! Join flood recovery programs for safe learning.,Rudi shuleni! Jiunge na programu za uokoaji wa mafuriko kwa ajili ya kujifunza salama.,Dok e skul! Donj e chenro mag konyo ji mondo oyud ritruok bang' ataro.,original_baseline_dataset,2026-07-11,PSA
75,Education,PSA,Basic Education Statistical Booklet 2020 released.,Kijitabu cha Takwimu za Elimu ya Msingi 2020 kimetolewa.,Buk mar Basic Education Statistical Booklet 2020 ne ogol.,original_baseline_dataset,2026-07-11,PSA
76,Education,PSA,"Be accountable! Schools, manage funds transparently.","Kuwa mwangalifu! Shule, dhibiti fedha kwa uwazi.","Bed ng'at moikore kawo ting'! Skunde, rituru pesa e yo maler.",original_baseline_dataset,2026-07-11,PSA
77,Education,PSA,"Be alert! Communities, report trafficking risks to 116.","Kuwa mwangalifu! Jamii, ripoti hatari za usafirishaji haramu kwa 116.","Beduru motang'! Kanyakla magwa, landuru hinyruok mabedoe nikech ohand dhano e namba 116.",original_baseline_dataset,2026-07-11,PSA
78,Education,PSA,Be alert! Report suspicious activities near schools to authorities.,Kuwa mwangalifu! Ripoti shughuli zinazotiliwa shaka karibu na shule kwa mamlaka.,Beduru motang'! Lando ne jotelo mag sirkal gik ma nyalo miyo ng'ato opar ni otimo gimoro marach machiegni gi skul.,original_baseline_dataset,2026-07-11,PSA
79,Education,PSA,Be cautious! Avoid chemical hazards near schools.,Kuwa mwangalifu! Epuka hatari za kemikali karibu na shule.,Bed motang'! Tang' gi gik manyalo hinyo ng'ato ka in machiegni gi skul.,original_baseline_dataset,2026-07-11,PSA
80,Education,PSA,Be prepared! Conduct fire evacuation drills in schools.,Kuwa tayari! Fanya mazoezi ya uokoaji wa moto shuleni.,Beduru moikore! Timuru ikruok mar golo ji e skunde.,original_baseline_dataset,2026-07-11,PSA
81,Education,PSA,Be prepared! Conduct regular fire safety drills in schools.,Kuwa tayari! Fanya mazoezi ya mara kwa mara ya usalama wa moto shuleni.,Beduru moikore! Timuru tiegruok mag geng'o masira mar mach e skunde.,original_baseline_dataset,2026-07-11,PSA
82,Education,PSA,Be vigilant! Report school fee fraud to authorities.,Kuwa mwangalifu! Ripoti udanganyifu wa ada ya shule kwa mamlaka.,Beduru motang'! Lando wach chulo osuru mar skul ne jotelo.,original_baseline_dataset,2026-07-11,PSA
83,Education,PSA,"Becomes Technical University of Mombasa, offering modern TVET.","Inakuwa Chuo Kikuu cha Ufundi cha Mombasa, kinachotoa TVET ya kisasa.","Obedo Technical University of Mombasa, ma chiwo tiegruok mar tiegruok mar ndalo ma sani.",original_baseline_dataset,2026-07-11,PSA
