PSA_Id,Domain,English,Kiswahili,Dholuo,Kiswahili_accurate,Dholuo_accurate,Reviewer_comments,Corrected_Dholuo,Corrected_Kiswahili
1289,Agriculture,Adopt best practices in aquaculture (fish farming) for species like catfish to maximize yields and profitability sustainably.,Tumia mbinu bora katika ufugaji samaki (ufugaji samaki) kwa spishi kama vile samaki aina ya kambare ili kuongeza mavuno na faida endelevu.,Bed gi timbe mabeyo mag pidho rech mag pi (pith) mondo omi rech obed gi nyak maber.,Yes,Yes,,,
4807,Governance,Join youth empowerment forums this month to learn how to access national ID replacement and report delayed government services.,Jiunge na mabaraza ya uwezeshaji wa vijana mwezi huu kujifunza jinsi ya kupata ubadilishaji wa kitambulisho cha taifa na kuripoti huduma za serikali kuchelewa.,Inyalo donjo e forum mag chiwo teko ne joma tindo e dwe ni mondo ing'e kaka inyalo yudo oboke mar ID mar piny kendo igoyo ripot mar tije mag sirkal ma osebedo ka okadho.,Yes,Yes,,,
2370,Security & Safety,Report environmental violations and support community advocacy for natural resource protection.,Ripoti ukiukwaji wa mazingira na uunge mkono utetezi wa jamii kwa ajili ya ulinzi wa maliasili.,Riw ripot kuom ketho alwora kendo riwo lwedo riwruok mar oganda ma kedo ne ritruok mar mwandu mag piny.,Yes,Yes,,,
3565,Agriculture,Combine mulching early with proper spacing to boost your groundnuts yield.,Changanya kufunika udongo mapema na nafasi sahihi ili kuongeza mavuno ya karanga.,Kod ng'ado lum mapiyo ka iketo thuolo mowinjore mondo imed ng'iewo lum mari.,Yes,Yes,,,
1985,Security & Safety,Be aware of common scams like fake lottery winnings or inheritance claims.,Kuwa mwangalifu kuhusu ulaghai wa kawaida kama vile ushindi bandia wa bahati nasibu au madai ya urithi.,Bed motang' gi timbe mag wuond kaka loso loso loso tuke mag loyo mich kuom hawi kata kawo mwandu.,Yes,Yes,,,
2115,Security & Safety,"NPS launched an online portal providing access to oversight reports, misconduct statistics, complaint status, and disciplinary actions.","NPS ilizindua lango la mtandaoni linalotoa ufikiaji wa ripoti za usimamizi, takwimu za utovu wa nidhamu, hali ya malalamiko, na hatua za kinidhamu.","NPS nochako chenro mar tiyo gi intanet mar yudo ripode mag jarit, weche mag timbe maricho, chal mar gik ma ji wacho, koda weche mag kum.",Yes,Yes,,,
1788,Security & Safety,Proper manure handling prevents disease. Compost before use and store away from water sources.,Utunzaji sahihi wa mbolea huzuia magonjwa. Mbolea kabla ya matumizi na uhifadhi mbali na vyanzo vya maji.,"Ka itiyo gi yien e yo makare, inyalo geng'o tuoche.",Yes,No,"Drops second sentence: ""Compost before use and store away from water sources.""",Tiyo gi yien e yo makare geng'o tuoche. Los yien kapok itiyo kode kendo kane mabor gi sokni mag pi.,
1280,Agriculture,"access especially by the smallholder farmers, and ... of relative agricultural economic growth and also shows the size of the agriculture market in Kenya.","upatikanaji hasa kwa wakulima wadogo, na ... wa ukuaji wa uchumi wa kilimo na pia unaonyesha ukubwa wa soko la kilimo nchini Kenya.",Yudo kod tiyo gi jopur matindo e timo tijno bende nyiso duong' mar chiro mar pith kod pur e piny ma Kenya.,Yes,Yes,,,
3218,Health,This could enable the spread of the outbreak to other districts.,Hii inaweza kuwezesha kuenea kwa mlipuko katika wilaya zingine.,Mano nyalo miyo tuwono olandre e distrikt mamoko.,Yes,Yes,,,
1746,Security & Safety,"Many children drown in open water sources. Parents should supervise kids near pools, rivers, and wells.","Watoto wengi huzama kwenye vyanzo vya maji vilivyo wazi. Wazazi wanapaswa kuwasimamia watoto karibu na madimbwi ya maji, mito, na visima.","Nyithindo mang'eny thoga e pi ma yudore e dho nam, kendo jonyuol onego orit nyithindgi machiegni gi yawo, aore, kod sokni.",Yes,Yes,,,
2029,Security & Safety,Verify identity of delivery personnel before allowing access to property.,Thibitisha utambulisho wa wafanyakazi wa usafirishaji kabla ya kuruhusu ufikiaji wa mali.,Non ane nying joma chiwo chiwo ka pok oyienegi donjo e ot.,Yes,Yes,,,
2283,Security & Safety,Kenya adopts updated UN and FATF sanctions lists targeting terrorism financing.,Kenya yapitisha orodha mpya za vikwazo vya Umoja wa Mataifa na FATF zinazolenga ufadhili wa ugaidi.,Kenya oyie gi list mar UN kod FATF mar chulo buche ma dwaro ni oti gi pesa e siro weche mag lweny.,Yes,Yes,,,
2981,Governance,"Corrigenda - Polling Stations for the 9th August, 2022 General Election","Corrigenda - Vituo vya Kupigia Kura kwa Uchaguzi Mkuu wa tarehe 9 Agosti, 2022",Oboke - Kuonde mag goyo ombulu mag tarik 9 dwe mar aboro higa mar 2022,Yes,Yes,,,
2924,Health,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 13TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 13 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO MAR CHOKO MAR TUDO MAR TUDO MAR KENYA TAR 13 MAR ABICH 2022,Yes,No,"Garbled/nonsensical -- repeated words (""TUDO MAR TUDO""), does not read as coherent Dholuo.",RIPOT MAR CHAL MAR CHANJO OSECHOPO MAR MINISTRI MAR THIETH KENYA COVID-19 TARIK 13 DWE MAR ABICH 2022,
3336,Agriculture,Vaccinate your goats against lumpy skin disease before the rainy season.,Chanja mbuzi yako dhidi ya ugonjwa wa ngozi ya uvimbe kabla ya msimu wa mvua.,Chiw ne dier mari chanjo mar geng'o tuoche mag dende ma lumpy kapok kinde koth ochopo.,Yes,Yes,,,
4430,Security & Safety,"In light of recent arson cases, residents are reminded to follow curfew regulations.","Kutokana na visa vya hivi karibuni vya uchomaji moto wa makusudi, wakazi wanakumbushwa kufuata kanuni za amri ya kutotoka nje.","Kaluwore gi kes mag wang'o mach mosekalo, iparo ne jodak mondo oluw chike mag kafiu.",Yes,Yes,,,
1741,Security & Safety,Children in areas like Northern Kenya face abduction and recruitment into armed groups. Security agencies must prioritize their safety.,Watoto katika maeneo kama Kaskazini mwa Kenya wanakabiliwa na utekaji nyara na kuajiriwa katika vikundi vyenye silaha. Mashirika ya usalama lazima yape kipaumbele usalama wao.,Nyithindo manie alwora kaka Northern Kenya yudo ka ikwalo kendo iketo e grube mag lweny.,Yes,No,"Drops second sentence: ""Security agencies must prioritize their safety.""",Nyithindo manie alworni kaka Kenya ma Nyandwat yudo ka ikwalo kendo idonjo e grube mag lweny. Migepe mag arita nyaka ket ritgi mokwongo.,
2979,Governance,"Names and Symbols of Persons of Independent Candidates Scheduled to Participate in the Commission Nominations for the General Election Scheduled to be held on 9th August, 2022","Majina na Alama za Watu Wagombea Huru Waliopangwa Kushiriki katika Uteuzi wa Tume kwa ajili ya Uchaguzi Mkuu Uliopangwa kufanyika tarehe 9 Agosti, 2022.",Nying' kod Ranyisi mag Ji mag Jotelo ma Ok Ochung' Motelo ma Oketi ni Bidhi e Okang' mar Ong'ado Nying' mag Komiti mar Yiero Maduong' ma Oketi ni otimre tarik 9 dwe mar aboro higa mar 2022,Yes,Yes,,,
690,Education,Train communities! Teach banditry prevention near schools.,Toa mafunzo kwa jamii! Fundisha kuzuia ujambazi karibu na shule.,Tieguru ji obed gi winjruok maber! Puonj ji kaka ginyalo geng'o jomecho machiegni gi skunde.,Yes,Yes,,,
4184,Health,Practice using treated mosquito nets to prevent the spread of disease in your household.,Fanya kutumia vyandarua vilivyotibiwa ili kuzuia kuenea kwa magonjwa nyumbani kwako.,Praktis tiyo kod mtoka ma nigi thieth mondo kik tuoche olandre e ot mari.,Yes,Yes,,,
4733,Security & Safety,Stay alert for updates on cybersecurity threats from official government channels.,Kaa macho kwa taarifa kuhusu vitisho vya usalama wa mtandao kutoka njia rasmi za serikali.,Bed gi ritruok kuom weche ma nyasani ewi luoro mag mbui mawuok e chanel mag sirkal.,Yes,Yes,,,
792,Health,Judges in all stations will in the meantime review the deserving cases already identified by Prisons authorities and issue appropriate revision orders in an effort to decongest the prisons. Magistrate Courts will also review bail terms for those in remand.,Majaji katika vituo vyote kwa wakati huo huo watapitia kesi zinazostahili ambazo tayari zimetambuliwa na mamlaka ya Magereza na kutoa amri zinazofaa za marekebisho katika juhudi za kupunguza msongamano wa magereza. Mahakama za Mahakimu pia zitapitia masharti ya dhamana kwa wale walio mahabusu.,Jong'ad bura e stesen duto biro nono weche mag joma owinjore ma jotelo mag jela oseyudo kendo biro chiwo chike mowinjore mag timo nonro e temo duoko chien pek mag joma nie jela. Kot mag Magistrate bende biro nono weche mag bond ne jogo ma ne nie remand.,Yes,Yes,,,
2228,Security & Safety,Advisories recommend avoiding large gatherings and taking caution during religious and cultural events due to elevated risks.,Ushauri unapendekeza kuepuka mikusanyiko mikubwa na kuchukua tahadhari wakati wa matukio ya kidini na kitamaduni kutokana na hatari kubwa.,Jotim nonro nyiso ni ber mondo kik ichokre e chokruoge madongo kendo iti gi rieko sama itimo chokruoge mag din kod kit ngima ji nikech nitie pek mang'eny.,Yes,Yes,,,
4005,Education,Enroll your child in vocational training college before the term begins.,Andikisha mtoto wako katika chuo cha mafunzo ya ufundi kabla ya muhula kuanza.,Ndik nying nyathini e kolej ma puonjo ji tich kapok term ochako.,Yes,Yes,,,
3695,Agriculture,Farmers growing coffee are advised to watch out for drought this season.,Wakulima wanaolima kahawa washauriwa kuchunga ukame msimu huu.,Jopur ma pidho kahawa ipuonjogi mondo gibed gi ritruok kuom oro e kindeni.,Yes,Yes,,,
3096,Health,"""The resilience demonstrated by counties during the funding disruptions proved that Kenya's HIV response is not built on donor support alone, it is anchored in committed healthcare workers, empowered communities, and strong county leadership.","""Ustahimilivu ulioonyeshwa na kaunti wakati wa kutatizwa kwa ufadhili ulithibitisha kuwa mwitikio wa VVU nchini Kenya hautegemei usaidizi wa wafadhili pekee, unaegemezwa na wafanyikazi wa afya waliojitolea, jamii zilizoimarishwa, na uongozi thabiti wa kaunti.","""Kinda ma ne onyis gi kaunti e kinde ma ne okethore gi pesa nonyiso ni dwoko mar HIV e piny Kenya ok ogere kuom kony mar jochiw kende, ochung'ne jotich mag thieth ma nigi gombo, oganda ma nigi teko, kod telo motegno mar kaunti.""",Yes,Yes,,,
4619,Security & Safety,Communities in flood-prone areas should prepare for lightning strikes this rainy season.,Jamii katika maeneo yanayokumbwa na mafuriko zijiandae kwa mapigo ya radi msimu huu wa mvua.,Jodak ma ni e kuonde ma pi mang'eny nyalo pong'o piny onego oikre ne yamo mager mabiro e kinde kothni.,Yes,Yes,,,
3717,Agriculture,Farmers growing cotton are advised to watch out for locusts this season.,Wakulima wanaolima pamba washauriwa kuchunga nzige msimu huu.,Jopur ma pidho pamba omiye rieko mondo kik giyud winyo e kindeni.,Yes,Yes,,,
2993,Governance,Suspension of continuous voter registration availability of the register of voters for verification,Kusitishwa kwa usajili endelevu wa upatikanaji wa daftari la wapigakura ili kuthibitishwa,Ochung' ne bedo ni rejista mar jogo ma goyo ombulu nitie mondo otim nonro,Yes,Yes,,,
3737,Agriculture,Vaccinate your pigs against rabies before the rainy season.,Chanja nguruwe yako dhidi ya kichaa cha mbwa kabla ya msimu wa mvua.,Chiw ng'ombe mari chanjo mar geng'o tuo mar rabies kapok kinde koth ochopo.,Yes,No,"""pigs"" mistranslated as ng'ombe (cattle).",Chiw anguro mari chanjo mar geng'o tuo mar rabies kapok kinde koth ochopo.,
4577,Security & Safety,Communities facing water contamination should follow fire safety precautions issued by county disaster teams.,Jamii zinazokabiliwa na uchafuzi wa maji zinapaswa kufuata tahadhari za usalama wa moto zilizotolewa na timu za maafa za kaunti.,Oganda maromo gi chilo mag pi onego oluw yore mag arita mar mach ma ogol gi jokanyo mag kaunti mag masira.,Yes,Yes,,,
428,Education,Maintain playgrounds safely 2021.,Tunza viwanja vya michezo kwa usalama mwaka 2021.,Rit maber kuonde tugo e higa mar 2021.,Yes,Yes,,,
2262,Security & Safety,Overview of updated United Kingdom counter terrorism laws including youth diversion and enhanced risk management tools.,Muhtasari wa sheria mpya za kukabiliana na ugaidi za Uingereza ikiwa ni pamoja na upotoshaji wa vijana na zana zilizoboreshwa za usimamizi wa hatari.,Weche ma ne otim e wi chike mag piny United Kingdom ma ne otigo e kedo gi timbe mahundu moriwo nyaka loko pach rowere kod yore mag loyo chandruoge.,Yes,Yes,,,
4072,Education,Teachers recommend combining time management with regular attendance to address bullying.,Walimu wanapendekeza kuchanganya usimamizi wa muda na mahudhurio ya mara kwa mara kushughulikia unyanyasaji.,Jopuonj golo paro ni mondo oriw rito thuolo kod bedo e chokruoge pile mondo ilos lweny mar anjao.,Yes,Yes,,,
3337,Agriculture,Protect your bananas from root rot by mulching early.,Linda ndizi yako dhidi ya kuoza kwa mizizi kwa kufunika udongo mapema.,Rit ng'injo mari mondo kik otur kuom ng'injogi mapiyo.,Yes,No,"""bananas"" mistranslated/garbled -- uses ng'injo (roots/termites), sentence structure confused.",Rit ndizi mari mondo kik oyud tuo mar ng'injo kuom umo lowo mapiyo.,
1496,Agriculture,Protect your agricultural innovations and new varieties by understanding Intellectual Property (IP) rights like patents and plant breeders' rights.,Linda uvumbuzi wako wa kilimo na aina mpya kwa kuelewa haki za Miliki Bunifu (IP) kama vile hati miliki na haki za wafugaji wa mimea.,Rit kit pur ma itiyogo gi lony e tijno kuom ng'eyo gik ma nyalo miyo ng'ato obed gi ratiro mar pidho dhok kod chamo cham.,Yes,Yes,,,
1585,Agriculture,"This publication describes climate-smart agriculture (CSA) case studies from around the world, showing how the approach is implemented to address challenges ...","Chapisho hili linaelezea tafiti za mifano ya kilimo kinachozingatia mabadiliko ya tabianchi (CSA) kutoka kote ulimwenguni, likionyesha jinsi mbinu hiyo inavyotekelezwa ili kushughulikia changamoto ...","Bukni lero kaka tij chwoyo gik moko e bwo chal mar kor lwasi (Climate Agriculture - CSA) en gima timore e piny mangima, kendo nyiso kaka otiyo gi yorno e nyagore gi pek ma ji yudo ka piny otimo kamano.",Yes,Yes,,,
3601,Agriculture,Protect your rice from coffee berry disease by improving drainage.,Linda mchele yako dhidi ya ugonjwa wa chungu wa kahawa kwa kuboresha mifereji ya maji.,Rit mzabibu mari mondo kik oyud tuoche mag berry mag kahawa kuom bero kaka pi nyalo ng'ado.,Yes,No,"""rice"" mistranslated as mzabibu (grapevine) -- known systemic crop-term error.",Rit mchele mari mondo kik oyud tuoche mag berry mag kahawa kuom bero kaka pi nyalo ng'ado.,
2056,Security & Safety,IMLU report on community policing committees in Narumoru (serving Nyeri and Nyandarua region),Ripoti ya IMLU kuhusu kamati za polisi jamii huko Narumoru (zinazohudumia mkoa wa Nyeri na Nyandarua),Ripot mar IMLU e wi komiti mag polise e Narumoru (ma tiyo ne alwora mar Nyeri kod Nyandarua),Yes,Yes,,,
3691,Agriculture,Visit your nearest agricultural office to learn about post-harvest storage.,Tembelea ofisi ya kilimo ya karibu kujifunza kuhusu uhifadhi baada ya mavuno.,Dhi e ofis man machiegni kodi mar pur mondo ing'e kaka inyalo kano mwandu bang' keyo cham.,Yes,Yes,,,
1465,Agriculture,"Many farmers rely on digital services, especially those delivered through platforms accessible via mobile phones, to access this information.","Wakulima wengi hutegemea huduma za kidijitali, hasa zile zinazotolewa kupitia mifumo inayopatikana kupitia simu za mkononi, ili kupata taarifa hii.","Mondo omi ging'e wachni, jopur mang'eny tiyo gi gik ma yudore e Intanet, to ahinya wuon gik ma yudore e Intanet.",Yes,Yes,,,
736,Education,Update safety standards 2022.,Sasisha viwango vya usalama 2022.,Lok chike mag rito ngima e higa mar 2022.,Yes,Yes,,,
193,Education,Enforce anti-corruption in education 2023.,Timiza kupambana na rushwa katika elimu 2023.,Tiuru gi yore mag kedo gi mibadhi e somo 2023.,Yes,Yes,,,
4715,Security & Safety,Communities facing building collapse risk should follow fire safety precautions issued by county disaster teams.,Jamii zinazokabiliwa na hatari ya kuporomoka kwa jengo zinapaswa kufuata tahadhari za usalama wa moto zilizotolewa na timu za maafa za kaunti.,Oganda maromo gi luoro mar ketruok mar udi onego oluw okenge mag arita mag mach moketi gi riwruoge mag masira mag kaunti.,Yes,Yes,,,
3040,Governance,Appointment of Returning and Deputy Returning Officers for purposes of the by–elections,Uteuzi wa Wasimamizi wa Uchaguzi na Naibu Wasimamizi wa Uchaguzi kwa madhumuni ya uchaguzi mdogo,Oketo jotelo ma ng'ado bura kod jotelo ma luwogi mondo otim yiero matin,Yes,Yes,,,
3404,Agriculture,Combine rotating crops with proper spacing to boost your millet yield.,Changanya kubadilisha mazao na nafasi sahihi ili kuongeza mavuno ya wimbi.,Kod cham ma ilokore gi thuolo mowinjore mondo omed cham mari mar ngano.,Yes,No,Crop-term error: millet mistranslated as ngano (wheat).,Kod cham ma ilokore gi thuolo mowinjore mondo omed cham mari mar kal.,
553,Education,Report bullying incidents immediately.,Ripoti matukio ya unyanyasaji mara moja.,"Ka nitie wach moro ma chandi, ler wachno mapiyo.",Yes,Yes,,,
1361,Agriculture,Efficient transportation gets your onions to market quickly and in good condition. Understand logistics options and cost considerations.,Usafiri mzuri husafirisha vitunguu vyako sokoni haraka na katika hali nzuri. Elewa chaguzi za vifaa na mambo ya kuzingatia kuhusu gharama.,"Ka itiyo gi yore ma ok rach e nyiewo adundo, to mano miyo ng'ato ong'iewo adundo mapiyo kendo e yo maber.",Yes,No,Onion translated with a different term than used elsewhere (otungu); also drops second sentence about logistics/cost considerations.,"Ka itiyo gi yore mowinjore mar wuoth, otungu mari nyalo chopo e chiro mapiyo kendo e yo maber. Ng'e yore mopogore mag tero gik moko kod gik midwaro paro kuom nengo.",
2560,Governance,"Accident Investigation and WIBA Processing When an accident occurs, and an employee is injured, the employer must report to DOSHS County offices within 24 hours if the accident is fatal, and within 7 days for non-fatal accidents.","Uchunguzi wa Ajali na Usindikaji wa WIBA Wakati ajali inatokea, na mfanyakazi akaumia, mwajiri lazima aripoti kwa ofisi za Kaunti ya DOSHS ndani ya saa 24 ikiwa ajali hiyo ni mbaya, na ndani ya siku 7 kwa ajali zisizo mbaya.","Nonro mar masich apaya kod chenro mar WIBA e kinde ma masich apaya otimore, kendo jatich oyudo hinyruok, jatelo onego ochiw ripot ne apise mar kaunti mar DOSHS motelo ne seche piero ariyo kod ang'wen ka masira no rach ahinya kendo motelo ne ndalo abiriyo ka masich apaya no ok lich ahinya.",Yes,Yes,,,
3613,Agriculture,Combine rotating crops with proper spacing to boost your beans yield.,Changanya kubadilisha mazao na nafasi sahihi ili kuongeza mavuno ya maharagwe.,Kod cham ma ilokore gi thuolo mowinjore mondo omed cham mari mar beans.,Yes,Yes,,,
1994,Security & Safety,Every Kenyan must join the fight against corruption.Uuphold our dignity and justice.,Kila Mkenya lazima ajiunge na vita dhidi ya ufisadi. Tulinde utu na haki yetu.,Ji duto manie piny Kenya nyaka riwre e kedo gi mibadhi. Rituru duong' kod timbewa makare.,Yes,Yes,,,
4944,Governance,"To reduce nepotism in hiring, the county is expanding access to business permit applications this year.","Ili kupunguza upendeleo katika uajiri, kaunti inapanua upatikanaji wa maombi ya leseni za biashara mwaka huu.","Mondo ogeng' ng'anjo mar jowetegi e ng'ado tich, kaunti medo ng'ado bura kuom kwayo mag oboke mar timo ohala e higa ni.",Yes,Yes,,,
1146,Health,Announcement of multi-sector collaboration to support school nutrition and small-scale dairy livelihoods through public procurement.,Tangazo la ushirikiano wa sekta mbalimbali ili kusaidia lishe shuleni na riziki ndogo za maziwa kupitia ununuzi wa umma.,Lando mar tudruok e kind migepe mopogore opogore mondo okony chiemo e skunde kod yore mag dak mar joma tiyo gi chak e okang' matin kokalo kuom chenro mar ng'iewo gik moko.,Yes,Yes,,,
1949,Security & Safety,Teach children how to call for help in emergencies (999 or 112).,Wafundishe watoto jinsi ya kupiga simu kuomba msaada katika dharura (999 au 112).,Puonj nyithindo kaka ginyalo kwayo kony e kinde mag chandruok (999 kata 112).,Yes,Yes,,,
3621,Agriculture,Farmers growing bananas are advised to watch out for root rot this season.,Wakulima wanaolima ndizi washauriwa kuchunga kuoza kwa mizizi msimu huu.,Jopur ma pidho ng'ombe ipuonjogi mondo gibed gi ritruok kuom ng'injo mag ng'injo e kindeni.,Yes,No,"""bananas"" mistranslated as ng'ombe (cattle).",Jopur mapidho ndizi ipuonjogi mondo gibed gi ritruok kuom tuoche mag ng'injo e kindeni.,
3428,Agriculture,Ask your extension officer for guidance on beekeeping before the next planting season.,Muulize afisa ugani kuhusu ufugaji nyuki kabla ya msimu ujao wa kupanda.,Kwa apisa mari ma rito gik moko mondo omiyi yore mag rito kich kapok kinde mar pidho mabiro ochopo.,Yes,Yes,,,
4562,Security & Safety,"In light of recent theft cases, residents are reminded to follow curfew regulations.","Kutokana na visa vya hivi karibuni vya wizi, wakazi wanakumbushwa kufuata kanuni za amri ya kutotoka nje.","Kaluwore gi kes mag kuo ma osetimore machiegni, iparo ne jodak mondo oluw chike mag kafiu.",Yes,Yes,Correction to earlier review: this row's Dholuo is accurate for its own English text (theft). It was only flagged because the same wording is reused for a different row (armed robbery) elsewhere in the full dataset -- that other row isn't in this subset.,,
1322,Agriculture,"Both pets and babies use begging and finicky eating habits to control what they are given, in a push-pull relationship. Day and his ...","Wanyama kipenzi na watoto wachanga hutumia tabia za kuombaomba na kula kwa njia finyu ili kudhibiti kile wanachopewa, katika uhusiano wa kusukumana. Siku na ...","Le koda nyithindo bende tiyo gi yoo mar kwecho kod ng'weyo ma en timgi mar chamo chiemo mondo gikaw okang' mar chiko gik ma imiyogi, e kindgi.",Yes,Yes,,,
2649,Governance,Ministry of Water encourages citizens to report any incidents of corruption to official government portal.,Wizara ya Maji inawahimiza raia kuripoti matukio yoyote ya ufisadi kwenye lango rasmi la serikali.,Apis mar pi jiwo raia mondo oland weche duto mag mibadhi e websait mar sirkal.,Yes,Yes,,,
2232,Security & Safety,Kenya hosts regional training to strengthen capacity in combating terrorism financing with participation from experts across Africa.,Kenya inaandaa mafunzo ya kikanda ili kuimarisha uwezo katika kupambana na ufadhili wa ugaidi kwa kushirikisha wataalamu kote Afrika.,Kenya timo tiegruok e pinje mag Afrika mondo omed jiwo nyalo mar kedo gi pesa ma itiyogo e chulo tuke mag mahundu.,Yes,Yes,,,
858,Health,Rising temperatures elevate the risk to Nairobi's malaria-free status,Kuongezeka kwa joto huongeza hatari ya kutokuwepo kwa malaria jijini Nairobi,Medruok mar liet miyo Nairobi bedo kama tuwo mar malaria ok yudie,Yes,Yes,,,
4143,Health,Parents should watch for high blood pressure in children and seek HIV testing promptly.,Wazazi wanapaswa kuchunga shinikizo la damu kwa watoto na kutafuta upimaji wa VVU haraka.,Jonyuol onego orit ka be nyithindgi nigi presa mamalo mar remo kendo onego otimnegi pim mar HIV mapiyo.,Yes,Yes,,,
2652,Governance,Citizens are reminded to remain vigilant about before the election deadline.,Wananchi wanakumbushwa kuwa macho kuhusu kabla ya tarehe ya mwisho ya uchaguzi.,Jopiny ijiwo mondo obed motang'kuom motelo ne yiero.,Yes,Yes,,,
1202,Health,Public communication campaign across radio and TV networks during national mental health month.,Kampeni ya mawasiliano ya umma katika mitandao ya redio na televisheni wakati wa mwezi wa kitaifa wa afya ya akili.,Kampen mar tudruok gi oganda e redio kod TV e dwe mar thieth mar paro.,Yes,Yes,,,
4096,Health,Talk to a health worker about elderly care to protect your family's health.,Zungumza na mhudumu wa afya kuhusu utunzaji wa wazee ili kulinda afya ya familia yako.,Wuo gi jatich mar thieth kuom rito jogo mahikgi oniang' mondo orit ngima mar joodu.,Yes,Yes,,,
4330,Health,Outbreaks of typhoid are prevented through using treated mosquito nets and timely immunization services.,Milipuko ya homa ya matumbo huzuiwa kupitia kutumia vyandarua vilivyotibiwa na huduma za chanjo kwa wakati.,Gigeng'o tuoche mag typhoid kokalo kuom tiyo kod gik ma osetimnegi thieth kod chiwo thieth e kinde mowinjore.,Yes,Yes,,,
