PSA_Id,Domain,English,Kiswahili,Ekegusii,Class,Source,English_clean,Kiswahili_clean,Ekegusii_clean,codeswitch_tokens,has_codeswitch,ekegusii_caps_ratio,codeswitch_tokens_v2,is_boilerplate,English_clean_n_words,English_clean_n_tokens,Kiswahili_clean_n_words,Kiswahili_clean_n_tokens,Ekegusii_clean_n_words,Ekegusii_clean_n_tokens,English_clean_tokens_str,Kiswahili_clean_tokens_str,Ekegusii_clean_tokens_str
11,Education,"15,000 full secondary scholarships for arid counties , apply before Nov 30 via county office!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...","Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!",PSA,original_baseline_dataset,"15,000 full secondary scholarships for arid counties – apply before Nov 30 via county office!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...","Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!",[],FALSE,0.007042254,[],FALSE,15,20,11,23,26,63,"15 , 000 full secondary scholarship ##s for ari ##d counties [UNK] apply before Nov 30 via county office !","U ##fa ##dhi ##li kami ##li wa maso ##mo 15 , 000 wa se ##konda ##ri kwa kaunti kam ##e . . .","Chi ##bes ##a chi ##ria chi ##ogo ##kon ##ya ab ##ana as ##e ab ##ana 15 , 000 as ##e ama ##som ##o ese ##kende ##ri as ##e ab ##ana bar ##ia bare as ##e chi ##ngo ##ngo chi ##nyo ##mo , toma og ##osa ny ##uma yo ##mot ##ien ##yi 11 go ##et ##ra of ##isi chi ##eka ##ont ##i yao !"
12,Education,"2,000 new mental health counselors deployed to secondary schools , book today!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""","Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi, rigia ribaga rero!",PSA,original_baseline_dataset,"2,000 new mental health counselors deployed to secondary schools – book today!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""","Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi, rigia ribaga rero!",[],FALSE,0.012195122,[],FALSE,12,17,15,32,11,33,"2 , 000 new mental health co ##unsel ##ors deployed to secondary schools [UNK] book today !","Was ##hau ##ri wa ##pya 2 , 000 wa af ##ya ya aki ##li wa ##lio ##tum ##wa katika shu ##le za up ##ili "" we ##ka na ##fasi leo ! ""","Ab ##ase ##mia be ##bire ##ngere ##rio bio ##bong ##o 2 , 000 bat ##omir ##we go ##chia chi ##su ##kur ##u chiese ##kende ##ri , ri ##gia riba ##ga re ##ro !"
13,Education,"2,014 permanent and pensionable posts for secondary school teachers.","Nafasi 2,014 za kudumu na za kustaafu kwa walimu wa shule za upili.","Amabaga ya abarimu 2,014 ase omoroberio o'pamanenti nechibesa chiobogotu atoirwe",PSA,original_baseline_dataset,"2,014 permanent and pensionable posts for secondary school teachers.","Nafasi 2,014 za kudumu na za kustaafu kwa walimu wa shule za upili.","Amabaga ya abarimu 2,014 ase omoroberio o'pamanenti nechibesa chiobogotu atoirwe",[],FALSE,0.015384615,[],FALSE,9,13,13,25,10,32,"2 , 014 permanent and pension ##able posts for secondary school teachers .","Na ##fasi 2 , 014 za ku ##dum ##u na za kust ##aa ##fu kwa wa ##lim ##u wa shu ##le za up ##ili .","Ama ##ba ##ga ya ab ##ari ##mu 2 , 014 as ##e om ##oro ##beri ##o o ' pa ##mane ##nti ne ##chi ##bes ##a chi ##ob ##ogo ##tu ato ##ir ##we"
14,Education,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Ufadhili wa masomo 200 wa Stipendium Hungaricum umefunguliwa kwa wanafunzi wa shahada ya kwanza wa Kenya.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang'ani bachie gosoma.,PSA,original_baseline_dataset,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Ufadhili wa masomo 200 wa Stipendium Hungaricum umefunguliwa kwa wanafunzi wa shahada ya kwanza wa Kenya.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang'ani bachie gosoma.,[],FALSE,0.023255814,[],FALSE,9,15,16,33,18,50,200 St ##ipendium Hung ##ari ##cum scholarship ##s open for Kenya ##n undergraduate students .,U ##fa ##dhi ##li wa maso ##mo 200 wa St ##ipendium Hung ##ari ##cum um ##ef ##ung ##uli ##wa kwa wa ##na ##fu ##nzi wa sh ##aha ##da ya kwanza wa Kenya .,Om ##oro ##beri ##o b ##wes ##eri ##kari ko ##b ##water ##ana nese ##rika ##ri ya Hungary ( Hung ##ari ##cum scholarship ##s ) o ##igo ##ir ##we as ##e 200 as ##e bar ##ia bas ##ome ##ire edi ##gri ##i ent ##ang ' ani ba ##chie go ##soma .
15,Education,"3,000 new special needs teachers deployed - your child gets support from Jan!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa - mtoto wako anapata usaidizi kutoka Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!",PSA,original_baseline_dataset,"3,000 new special needs teachers deployed – your child gets support from Jan!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!",[],FALSE,0.009433962,[],FALSE,13,16,13,32,17,47,"3 , 000 new special needs teachers deployed [UNK] your child gets support from Jan !","W ##alim ##u wa ##pya 3 , 000 we ##nye mah ##ita ##ji maal ##um wa ##lio ##tum ##wa "" mto ##to wa ##ko ana ##pata usa ##idi ##zi kutoka Jan !","Ama ##ba ##ga ama ##yia 3 , 000 ya ##bari ##mu ya ##mare ##mar ##u ao ao bat ##omir ##we chi ##su ##kur ##u , om ##wana o ##o na ##be oko ##nyo ##re obok ##onyi go ##ch ##kera om ##oti ##eny om ##tang ' ani !"
16,Education,Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,PSA,original_baseline_dataset,Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,['TV'],TRUE,0.071428571,['TV'],FALSE,7,10,8,13,9,24,Access Ed ##u ##TV via Kenya Education Cloud daily .,Fi ##kia Ed ##u ##TV kup ##itia Kenya Education Cloud kila siku .,Ny ##ora ama ##som ##o go ##etera om ##oro ##beri ##o b ##wes ##eri ##kari ( Ed ##u TV ) ok ##era rit ##uko
17,Education,Access EduTV via Kenya Education Cloud.,Fikia EduTV kupitia Wingu la Elimu la Kenya.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV),PSA,original_baseline_dataset,Access EduTV via Kenya Education Cloud.,Fikia EduTV kupitia Wingu la Elimu la Kenya.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV),['TV'],TRUE,0.096153846,['TV'],FALSE,6,9,8,15,9,22,Access Ed ##u ##TV via Kenya Education Cloud .,Fi ##kia Ed ##u ##TV kup ##itia Wing ##u la Eli ##mu la Kenya .,Ny ##ora ama ##som ##o go ##etera om ##oro ##beri ##o b ##wes ##eri ##kari ya Kenya ( Ed ##u TV )
18,Education,Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,PSA,original_baseline_dataset,Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,[],FALSE,0,[],FALSE,9,15,14,27,13,34,Access free resources ! Dis ##tri ##but ##e free text ##books to rural schools .,Pat ##a rasi ##lima ##li za bu ##re ! Samba ##za vita ##bu vya ki ##ada vya bu ##re kwa shu ##le za vi ##ji ##jini .,ban ##yor ##ire om ##oro ##beri ##o b ##wo ##ko ##eg ##wa e ##bita ##bu bio ##gos ##ome ##ra chi ##su ##kur ##u chi ##ria chi ##re ime mono bat ##ari kor ##wa kende
19,Education,Access KPSEA results from December 1 via school portal.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,PSA,original_baseline_dataset,Access KPSEA results from December 1 via school portal.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,['KPSEA'],TRUE,0.036764706,['KPSEA'],FALSE,9,12,11,23,23,58,Access KP ##SE ##A results from December 1 via school portal .,Pat ##a mato ##ke ##o ya KP ##SE ##A ku ##anz ##ia Des ##emba 1 kup ##itia lang ##o la shu ##le .,ab ##ana be ##chis ##eken ##der ##i chia ins ##e ni ##go bak ##ony ##ora amat ##em ##wa ab ##o na buna bak ##ore ##te kor ##wa as ##e KP ##SE ##A kor ##wa om ##oti ##eny ##i eta ##rik ##i eye ##mo yo ##mo ##yi ##eny ##i 12 go ##etera chi ##su ##kur ##u chia ##bo .
20,Education,"Access KPSEA results via school portal from December 1, 2025.","Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,PSA,original_baseline_dataset,"Access KPSEA results via school portal from December 1, 2025.","Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,['PSEA'],TRUE,0.056179775,['PSEA'],FALSE,10,14,12,25,15,39,"Access KP ##SE ##A results via school portal from December 1 , 2025 .","Fi ##kia mato ##ke ##o ya KP ##SE ##A kup ##itia lang ##o la shu ##le ku ##anz ##ia Des ##emba 1 , 2025 .",Ny ##ora ama ##iran ##eri ##o ya ##mate ##m ##wa PS ##EA go ##et ##ra chi ##sur ##u chia ##bo kor ##wa eta ##rik ##i eye ##mo yo ##mot ##ien ##yi o ##iko ##mi na ka ##bere 2025 .
21,Education,Access results from Dec 1 via portal.,Fikia matokeo kuanzia Desemba 1 kupitia lango.,Nyora amairanerio yamatemwa abo korwa etariki entang'ani yomotienyi 12,PSA,original_baseline_dataset,Access results from Dec 1 via portal.,Fikia matokeo kuanzia Desemba 1 kupitia lango.,Nyora amairanerio yamatemwa abo korwa etariki entang'ani yomotienyi 12,[],FALSE,0.016949153,[],FALSE,7,8,7,16,9,26,Access results from Dec 1 via portal .,Fi ##kia mato ##ke ##o ku ##anz ##ia Des ##emba 1 kup ##itia lang ##o .,Ny ##ora ama ##iran ##eri ##o ya ##mate ##m ##wa ab ##o kor ##wa eta ##rik ##i ent ##ang ' ani yo ##mot ##ien ##yi 12
22,Education,Access results via school portal from December 1.,Pata matokeo kupitia lango la shule kuanzia Desemba 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,PSA,original_baseline_dataset,Access results via school portal from December 1.,Pata matokeo kupitia lango la shule kuanzia Desemba 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,[],FALSE,0,[],FALSE,8,9,9,19,13,36,Access results via school portal from December 1 .,Pat ##a mato ##ke ##o kup ##itia lang ##o la shu ##le ku ##anz ##ia Des ##emba 1 .,n ##kon ##yor ##a bare ama ##iran ##eri ##o ya ##mate ##m ##wa ab ##o got ##era chi ##su ##kur ##u chia ##bo kor ##wa eta ##rik ##i eye ##mo yo ##mot ##ien ##yi 12 .
23,Education,Accessible legal text for learners and public,Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,nyora ebitabu biamachiko ase baria bagosoma amo neamate,PSA,original_baseline_dataset,Accessible legal text for learners and public,Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,nyora ebitabu biamachiko ase baria bagosoma amo neamate,[],FALSE,0,[],FALSE,7,9,10,22,8,19,Access ##ible legal text for learn ##ers and public,Maan ##dish ##i ya kis ##her ##ia yana ##yo ##patikana kwa ura ##his ##i kwa wa ##na ##fu ##nzi na um ##ma,ny ##ora e ##bita ##bu bi ##ama ##chi ##ko as ##e bar ##ia bag ##osoma amo ne ##amat ##e
