PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Fact_Source,Source,Somali
11,Health,General,The public is informed about child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Umma unafahamishwa kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,Oganda ong'eyo wach ewi luwo dongruok mar nyathi kod chiwo Vitamin A e wik mar Malezi Bora.,h11,grounded_generated,Dadweynaha waxaa lala socodsiiyaa la socodka korriinka ilmaha iyo kaabista Vitamin A inta lagu jiro usbuuca Malezi Bora.
12,Health,General,The public is informed about family planning services available free of charge at public clinics.,Umma unafahamishwa kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,Oganda ong’ere kuom tich mar loso chenro mar anyuola ma yudore maonge chudo e klinik mag piny.,h12,grounded_generated,Dadweynaha waxaa lala socodsiiyaa adeegyada qorsheynta qoyska ee bilaashka ah ee laga helo rugaha caafimaadka dadweynaha.
13,Health,General,Residents are encouraged to learn more about the Social Health Authority (SHA) registration for universal health coverage.,Wakazi wanahamasishwa kujifunza zaidi kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,Jodak ojiwe mondo ong’e mathoth kuom ndiko nying’ mar Ofis mar Thieth mar Oganda (SHA) mondo oyud thieth mar piny mangima.,h01,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan diiwaan gelinta Maamulka Caafimaadka Bulshada (SHA) ee caymiska caafimaadka caalamiga ah.
14,Health,General,Residents are encouraged to learn more about the Linda Mama programme providing free maternity care at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,Jodak ojiwe mondo ong’e mathoth kuom chenro mar Linda Mama ma chiwo thieth mar nyuol ma nono e kuonde thieth mag piny.,h02,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan barnaamijka Linda Mama oo bixisa daryeel hooyonimo oo bilaash ah xarumaha caafimaadka dadweynaha.
15,Health,General,Residents are encouraged to learn more about routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Wakazi wanahamasishwa kujifunza zaidi kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,Jodak jiwo mondo ong’e mathoth kuom chiwo thieth ma pile ka pile ne nyithindo e bwo chenro mar chiwo thieth ma pile pile e piny Kenya (KEPI).,h03,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan tallaalka carruurnimada ee joogtada ah ee hoos yimaada Barnaamijka Balaadhinta Tallaalka ee Kenya (KEPI).
16,Health,General,Residents are encouraged to learn more about free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,Jodak jiwo mondo ong’e mathoth kuom ng’eyo kendo thieth mar tuo mar TB ma onge chudo e kuonde thieth mag piny.,h04,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan ogaanshaha iyo daawaynta tiibishada bilaashka ah ee xarumaha caafimaadka dadweynaha.
17,Health,General,Residents are encouraged to learn more about distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wakazi wanahamasishwa kujifunza zaidi kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,Jodak jiwo mondo ong’e mathoth e wi keto gik ma nyalo ketho winyo ma nyalo tiyo kuom kinde malach mondo ogeng’ tuo mar malaria.,h05,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa in ay wax badan ka bartaan qaybinta maro-kaneecada cayayaanka ee muddada dheer si ay uga hortagaan duumada.
18,Health,General,Residents are encouraged to learn more about HPV vaccination for adolescent girls to prevent cervical cancer.,Wakazi wanahamasishwa kujifunza zaidi kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,Jodak ojiwe mondo ong’e mathoth kuom chiwo chanjo mar HPV ne nyiri ma hikgi tin mondo kik giyud kansa mar ot mar dhako.,h06,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan tallaalka HPV ee gabdhaha qaan-gaarka ah si looga hortago kansarka ilmo-galeenka.
19,Health,General,Residents are encouraged to learn more about community health promoters (CHPs) offering household health education and referrals.,Wakazi wanahamasishwa kujifunza zaidi kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,Jodak jiwo mondo ong’e mathoth kuom jogo ma rito thieth mar oganda (CHPs) ma chiwo somo mar thieth mar ot kod jogo ma orogi.,h07,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan dhiirrigeliyeyaasha caafimaadka bulshada (CHPs) oo bixiya waxbarashada caafimaadka qoyska iyo gudbinta.
20,Health,General,Residents are encouraged to learn more about free HIV testing and counselling services at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,Jodak ojiw mondo ong’e mathoth kuom timo pim mar HIV ma onge chudo kod chiwo paro e kuonde thieth mag piny.,h08,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan adeegyada la-talinta iyo baaritaanka HIV ee bilaashka ah ee xarumaha caafimaadka dadweynaha.
21,Health,General,Residents are encouraged to learn more about screening for non-communicable diseases such as diabetes and hypertension.,Wakazi wanahamasishwa kujifunza zaidi kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,Jodak ojiwe mondo ong’e mathoth kuom ng’iyo tuoche ma ok nyal landore kaka tuoche mag sukari kod tuoche mag presa ma malo.,h09,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka ogaadaan baaritaanka cudurrada aan la is qaadsiin karin sida sonkorowga iyo dhiig-karka.
22,Health,General,Residents are encouraged to learn more about mental health support services under the national mental health action plan.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,Jodak jiwo mondo ong’e mathoth kuom tich mar konyo jotuwo mag paro e bwo chenro mar piny mangima mar timo gik moko e wi thieth mar paro.,h10,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa in ay wax badan ka bartaan adeegyada taageerada caafimaadka dhimirka ee hoos yimaada qorshaha waxqabadka caafimaadka dhimirka ee qaranka.
23,Health,General,Residents are encouraged to learn more about child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Wakazi wanahamasishwa kujifunza zaidi kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,Jodak ojiw mondo opuonjre mathoth ewi luwo dongruok mar nyathi kod chiwo Vitamin A e juma mar Malezi Bora.,h11,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka bartaan la socodka korriinka ilmaha iyo kaabista Vitamin A inta lagu jiro usbuuca Malezi Bora.
24,Health,General,Residents are encouraged to learn more about family planning services available free of charge at public clinics.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,Jodak jiwo mondo ong’e mathoth e wi tich mar rito joot ma yudore maonge chudo e klinik mag sirkal.,h12,grounded_generated,Dadka deegaanka waxaa lagu dhiirigelinayaa inay wax badan ka ogaadaan adeegyada qorsheynta qoyska ee bilaashka ah ee laga helo rugaha caafimaadka dadweynaha.
25,Health,General,"For more information, visit your nearest county office regarding the Social Health Authority (SHA) registration for universal health coverage.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi kuom weche mag ndiko nying’ mar Ofis mar Thieth mar Oganda (SHA) mondo oyud thieth mar ji duto.",h01,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan diiwaangelinta Maamulka Caafimaadka Bulshada (SHA) ee caymiska caafimaadka caalamiga ah."
26,Health,General,"For more information, visit your nearest county office regarding the Linda Mama programme providing free maternity care at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.","Ka idwaro ng’eyo mathoth, dhi e ofis mar kaunti man machiegni kodi kuom chenro mar Linda Mama ma chiwo thieth mar nyuol ma nono e kuonde thieth mag piny.",h02,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan barnaamijka Linda Mama oo bixisa daryeel hooyonimo bilaash ah xarumaha caafimaadka dadweynaha."
27,Health,General,"For more information, visit your nearest county office regarding routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).","Ka idwaro ng’eyo mathoth, dhi e ofis mar kaunti man machiegni kodi kuom wach mar chiwo thieth ma pile ka pile ne nyithindo e bwo chenro mar thieth ma itimo e piny Kenya (KEPI).",h03,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan tallaalka carruurnimada ee joogtada ah ee hoos yimaada Barnaamijka Balaadhinta Tallaalka ee Kenya (KEPI)."
28,Health,General,"For more information, visit your nearest county office regarding free tuberculosis (TB) diagnosis and treatment at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi kuom wach mar ng’eyo kod thieth mar tuo mar TB ma onge chudo e kuonde thieth mag piny.",h04,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan ogaanshaha iyo daawaynta qaaxada bilaashka ah ee xarumaha caafimaadka dadweynaha."
29,Health,General,"For more information, visit your nearest county office regarding distribution of long-lasting insecticidal mosquito nets to prevent malaria.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi e wi chiwo gik ma nyalo ketho winyo ma nyalo tiyo kuom kinde malach mondo ogeng’ malaria.",h05,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska gobolka kuugu dhow ee ku saabsan qaybinta maro-kaneecada cayayaanka ee muddada dheer si looga hortago duumada."
30,Health,General,"For more information, visit your nearest county office regarding HPV vaccination for adolescent girls to prevent cervical cancer.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi e wi chiwo chanjo mar HPV ne nyiri ma rowere mondo kik giyud tuwo mar kansa mar ot mar dhako.",h06,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan tallaalka HPV ee gabdhaha qaan-gaarka ah si looga hortago kansarka ilmo-galeenka."
31,Health,General,"For more information, visit your nearest county office regarding community health promoters (CHPs) offering household health education and referrals.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi kuom jogo ma rito thieth mar oganda (CHPs) ma chiwo somo mar thieth mar ot kod jogo ma orogi.",h07,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan dhiirrigeliyeyaasha caafimaadka bulshada (CHPs) oo bixiya waxbarashada caafimaadka qoyska iyo gudbinta."
32,Health,General,"For more information, visit your nearest county office regarding free HIV testing and counselling services at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi e wi timo pim mar HIV ma nono kod chiwo paro e kuonde thieth mag piny.",h08,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan adeegyada la-talinta iyo baaritaanka HIV ee bilaashka ah ee xarumaha caafimaadka dadweynaha."
33,Health,General,"For more information, visit your nearest county office regarding screening for non-communicable diseases such as diabetes and hypertension.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.","Ka idwaro ng’eyo mathoth, dhi e ofis mar kaunti man machiegni kodi e wi ng’iyo tuoche ma ok nyal landore kaka tuoche mag sukari kod tuoche mag remo.",h09,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan baaritaanka cudurrada aan la kala qaadin sida sonkorowga iyo dhiig-karka."
34,Health,General,"For more information, visit your nearest county office regarding mental health support services under the national mental health action plan.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi e wi tich mar konyo jotuwo mag paro e bwo chenro mar timo gik moko e wi thieth mar paro e piny.",h10,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan adeegyada taageerada caafimaadka dhimirka ee hoos yimaada qorshaha waxqabadka caafimaadka dhimirka ee qaranka."
35,Health,General,"For more information, visit your nearest county office regarding child growth monitoring and Vitamin A supplementation during Malezi Bora week.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.","Mondo iyud weche mathoth, dhi e apis mar kaunti man machiegni kodi ewi luwo dongruok mar nyathi kod chiwo Vitamin A e juma mar Malezi Bora.",h11,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee la xidhiidha la socodka koritaanka ilmaha iyo kaabista Vitamin A inta lagu jiro usbuuca Malezi Bora."
36,Health,General,"For more information, visit your nearest county office regarding family planning services available free of charge at public clinics.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.","Mondo iyud weche mathoth, dhi e ofis mar kaunti man machiegni kodi e wi tich mar loso chenro mar anyuola ma yudore maonge chudo e klinik mag sirkal.",h12,grounded_generated,"Wixii macluumaad dheeraad ah, booqo xafiiska degmada kuugu dhow ee ku saabsan adeegyada qorsheynta qoyska ee bilaashka ah ee laga helo rugaha caafimaadka dadweynaha."
37,Health,General,Take advantage of the Social Health Authority (SHA) registration for universal health coverage available to eligible residents.,Nufaika na usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote inayopatikana kwa wakazi wanaostahili.,Ti kod thuolo mar ndiko nying’ e Ofis mar Thieth mar Oganda (SHA) mondo iyud thieth ma ji duto nyalo yudo ne jodak ma owinjore.,h01,grounded_generated,Ka faa'iidayso diiwaangelinta Maamulka Caafimaadka Bulshada (SHA) ee caymiska caafimaadka caalamiga ah oo ay heli karaan deganayaasha xaqa u leh.
38,Health,General,Take advantage of the Linda Mama programme providing free maternity care at public health facilities available to eligible residents.,Nufaika na mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar chenro mar Linda Mama ma chiwo thieth mar nyuol ma nono e kuonde thieth mag piny owacho ma yudore ne jodak ma owinjore.,h02,grounded_generated,Ka faa'iidayso barnaamijka Linda Mama oo bixisa daryeelka hooyada ee bilaashka ah ee xarumaha caafimaadka dadweynaha ee ay heli karaan deganayaasha xaqa u leh.
39,Health,General,Take advantage of routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) available to eligible residents.,Nufaika na chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) inayopatikana kwa wakazi wanaostahili.,Ti kod thuolo mar chiwo thieth ma pile ka pile ne nyithindo e bwo chenro mar chiwo thieth ma Kenya (KEPI) ma yudore ne jodak ma owinjore.,h03,grounded_generated,Ka faa'iidayso tallaalka carruurnimada ee joogtada ah ee hoos yimaada Barnaamijka Balaadhsan ee Tallaalka ee Kenya (KEPI) ee ay heli karaan dadka deegaanka ee xaqa u leh.
40,Health,General,Take advantage of free tuberculosis (TB) diagnosis and treatment at public health facilities available to eligible residents.,Nufaika na uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,Ti kod thuolo mar ng’eyo kendo thieth mar tuo mar TB ma nono e kuonde thieth mag piny ma yudore ne jodak ma owinjore.,h04,grounded_generated,Ka faa'iidayso ogaanshaha iyo daawaynta tiibishada bilaashka ah ee xarumaha caafimaadka dadweynaha ee ay heli karaan deganayaasha xaqa u leh.
41,Health,General,Take advantage of distribution of long-lasting insecticidal mosquito nets to prevent malaria available to eligible residents.,Nufaika na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar keto gik ma nyalo ketho winyo ma nyalo tiyo kuom thuolo malach mondo ogeng’ malaria ma yudore ne jodak ma owinjore.,h05,grounded_generated,Ka faa'iidayso qaybinta maro-kaneecada cayayaanka-ka-neecada ah ee muddada dheer jirta si aad uga hortagto duumada oo ay heli karaan dadka deegaanka ee xaqa u leh.
42,Health,General,Take advantage of HPV vaccination for adolescent girls to prevent cervical cancer available to eligible residents.,Nufaika na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar yudo chanjo mar HPV ne nyiri ma hikgi tin mondo ogeng’ kansa mar ot mar dhako ma yudore ne jodak ma owinjore.,h06,grounded_generated,Ka faa'iidayso tallaalka HPV ee gabdhaha qaan-gaarka ah si aad uga hortagto kansarka ilmo-galeenka oo ay heli karaan deganayaasha xaqa u leh.
43,Health,General,Take advantage of community health promoters (CHPs) offering household health education and referrals available to eligible residents.,Nufaika na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar jogo ma rito thieth mar oganda (CHPs) ma chiwo somo mar thieth mar ot kod ng’ado bura ma yudore ne jodak ma owinjore.,h07,grounded_generated,Ka faa'iidayso dhiirrigeliyeyaasha caafimaadka bulshada (CHPs) oo bixiya waxbarashada caafimaadka qoyska iyo tixraacyada ay heli karaan deganayaasha xaqa u leh.
44,Health,General,Take advantage of free HIV testing and counselling services at public health facilities available to eligible residents.,Nufaika na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar timo pim mar HIV ma nono kod chiwo paro e kuonde thieth mag piny ma yudore ne jodak ma owinjore.,h08,grounded_generated,Ka faa'iidayso adeegyada la-talinta iyo baadhista HIV-ga ee bilaashka ah ee xarumaha caafimaadka dadweynaha ee ay heli karaan deganayaasha xaqa u leh.
45,Health,General,Take advantage of screening for non-communicable diseases such as diabetes and hypertension available to eligible residents.,Nufaika na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar ng’iyo tuoche ma ok nyal landore kaka tuo mar sukari kod presa ma malo ma yudore ne jodak ma owinjore.,h09,grounded_generated,Ka faa'iidayso baadhista cudurrada aan la kala qaadin sida sonkorowga iyo dhiig-karka oo ay heli karaan dadka deegaanka ee xaqa u leh.
46,Health,General,Take advantage of mental health support services under the national mental health action plan available to eligible residents.,Nufaika na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar konyo jotuwo mag paro e bwo chenro mar tich mar piny mangima ma yudore ne jodak ma owinjore.,h10,grounded_generated,Ka faa'iidayso adeegyada taageerada caafimaadka dhimirka ee hoos yimaada qorshaha waxqabadka caafimaadka dhimirka ee qaranka oo ay heli karaan deganayaasha xaqa u leh.
47,Health,General,Take advantage of child growth monitoring and Vitamin A supplementation during Malezi Bora week available to eligible residents.,Nufaika na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora inayopatikana kwa wakazi wanaostahili.,Ti kod thuolo mar luwo dongruok mar nyathi kod chiwo Vitamin A e juma mar Malezi Bora mayudore ne jodak mowinjore.,h11,grounded_generated,Ka faa'iidayso la socodka korriinka ilmaha iyo kaabista Vitamin A inta lagu jiro usbuuca Malezi Bora oo ay heli karaan deganayaasha xaqa u leh.
48,Health,General,Take advantage of family planning services available free of charge at public clinics available to eligible residents.,Nufaika na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma inayopatikana kwa wakazi wanaostahili.,Ti gi thuolo mar rito joot ma yudore maonge chudo e klinik mag sirkal ma yudore ne jodak ma owinjore.,h12,grounded_generated,Ka faa'iidayso adeegyada qorshaynta qoyska ee bilaashka ah ee laga helo rugaha caafimaadka dadweynaha oo ay heli karaan deganayaasha xaqa u leh.
49,Health,General,Officials remind the public about the Social Health Authority (SHA) registration for universal health coverage.,Maafisa wanakumbusha umma kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,Jotelo paro ne oganda kuom ndiko nying’ e riwruok mar thieth mar oganda (SHA) mondo oyud thieth mar ji duto.,h01,grounded_generated,Saraakiishu waxay xasuusinayaan dadweynaha wixii ku saabsan diiwaangelinta Maamulka Caafimaadka Bulshada (SHA) ee caymiska caafimaadka caalamiga ah.
50,Health,General,Officials remind the public about the Linda Mama programme providing free maternity care at public health facilities.,Maafisa wanakumbusha umma kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,Jotelo paro ne oganda kuom chenro mar Linda Mama ma chiwo thieth mar nyuol ma nono e kuonde thieth mag oganda.,h02,grounded_generated,Saraakiishu waxay xasuusinayaan dadweynaha barnaamijka Linda Mama oo daryeelka hooyada ee bilaashka ah ka bixinaya xarumaha caafimaadka dadweynaha.
