PSA_Id,Domain,Class,English,Kiswahili,Dholuo
PSA0037,Media,General,"Citizen Planet is one of the RMS Group editorial initiative committed to advancing sustainability, with a primary emphasis on tackling climate change, pollution, and biodiversity.",,
PSA0038,Media,General,"Through this program, RMS aims to heighten awareness and provide public education about the current state of the planet.",,
PSA0039,Media,General,Our goal is to equip the society with the necessary knowledge and resources to safeguard and conserve the planet for the benefit of future generations.,,
PSA0040,Media,General,"As a media house, we are deeply committed to effectively communicating with the public over the long term, aiming to influence behavioural change and create a meaningful impact on society.",,
PSA0041,Media,General,"During our partnership, RMS will strategically allocate substantial resources to editorial efforts, with the goal of raising awareness, inspiring action, and catalyzing positive change in sustainability practices within communities.",,
PSA0042,Media,General,This initiative has not only cultivated brilliant journalists but also nurtured leaders and role models.,,
PSA0043,Media,General,"RMS is excited to expand this program, offering apprenticeship opportunities to graduates and youth across the country, guiding them towards making informed career choices and empowering them to excel in their chosen paths.",,
PSA0044,Media,General,"Communities are at the forefront of innovation, crafting solutions to address emerging societal challenges.",,
PSA0045,Media,General,"From developing strategies to mitigate the impacts of climate change to disseminating valuable information aimed at nurturing a generation of young innovators and creators, these initiatives are driving positive change.",,
PSA0046,Media,General,"Additionally, some communities are focused on building resilience and empowering champions of change, ensuring the continuity of impactful sustainability efforts for future generations.",,
PSA0047,Media,General,We value the voices and perspectives of our audience and actively seek their input.,,
PSA0048,Media,General,"Through surveys, polls, and feedback mechanisms, we foster a sense of community involvement, ensuring that their opinions shape our content and initiatives.",,
PSA0049,Media,General,We organize events and collaborate with partners to create memorable experiences for our audience.,,
PSA0050,Media,Road Safety,"RMS has a large and diverse audience, allowing advertisers to reach a broad base of potential customers.",,
PSA0051,Media,General,"RMS offers channels and platforms that cater to specific demographics and communities, allowing advertisers.",,
PSA0052,Media,General,Advertising on RMS digital platforms taps into the growing online audience in addition to...,,
PSA0053,Media,General,Join our multicultural organization and become part of an inspiring environment that fosters growth and expands possibilities.,,
PSA0054,Media,General,Thousands of young Kenyans are set to benefit from the second phase Nyota Start-Up Capital Programme following its launch today (Friday) by President William Ruto.,,
PSA0055,Media,Fire Safety,"Three firearms, 43 rounds of ammunition voluntarily surrendered in Tana River",,
PSA0056,Media,General,"Global housing crisis threatens SDG 11 as 2030 deadline looms, UN report",,
PSA0057,Media,General,"Bandari Maritime Academy continues to position Kenyan youth for opportunities in the global maritime industry, with growing numbers enrolling for the mandatory Standards of Training, Certification, and Watchkeeping for seafarers (STCW) basic course as they prepare for careers at sea.…",,
PSA0058,Media,General,"MPs probe Ksh.844M JOOUST hostel project as audit queries contract variations, payments",,
PSA0059,Media,General,Kenya must move beyond toxic pesticides dependency to protect public health and food security,,
PSA0060,Media,Fire Safety,Three illegally owned firearms and 43 rounds of ammunition have been voluntarily surrendered by members of the public in Tana River County.,,
PSA0061,Media,General,Information You Can Trust: Stay instantly connected with breaking stories and live updates.,,
PSA0062,Media,General,"From politics and technology to entertainment and beyond, we provide real-time coverage you can rely on, making us your dependable source for 24/7 news.",,
PSA0063,Media,General,"The world is running out of time to deliver on its promise of sustainable cities and communities, a new United Nations report has warned, painting a stark picture of a…",,
PSA0064,Media,General,...demand that land compensation must in kind and not cash; land for land,,
PSA0065,Health,General,Ensuring food safety through rigorous analysis at the,,
PSA0066,Health,Malaria,Malaria vaccination targeting children within Kenya's lake-endemic region,,
PSA0067,Health,General,Healthcare IT Digitization Programme Steering Committee Reviews Progress on UHC Digital Transformation,,
PSA0068,Health,General,Kenya Strengthens Partnership with GE Healthcare to Advance UHC and Digital Health,,
PSA0069,Health,General,PS Mary Muthoni Rallies Health Regulators to Strengthen Coordination and Public Health Oversight,,
PSA0070,Health,General,Kenya and India Deepen Health Partnership to Advance Universal Health Coverage,,
PSA0071,Health,General,RUSH Kenya Rural and Urban Sanitation & Hygiene Monitoring System,,
PSA0072,Health,General,Visit the Kenya Rural and Urban Sanitation & Hygiene Monitoring System Portal,,
PSA0073,Health,General,The State Department plays a crucial role in shaping healthcare in our country.,,
PSA0074,Health,General,"From setting medical services policy to providing curative health services and managing health policy and administration, they are committed to ensuring the well-being of our citizens.",,
PSA0075,Health,General,The State Department is responsible for critical functions related to public health and professional standards.,,
PSA0076,Health,General,"They develop policies on public health and sanitation, ensuring the well-being of our communities.",,
PSA0077,Health,General,"The Kenya Medical Training College (KMTC) is a State Corporation established through an Act of Parliament under the Ministry of Health, entrusted with the role of training various disciplines in the health sector to serve the Kenyan interests, East Africa and beyond.",,
PSA0078,Health,Child Protection,A National Handbook Guide For Integration Of Mental Health Services Into Maternal And Child Health Services For Pregnant Adolescents,,
PSA0079,Health,General,"A Two of Meeting with Parliamentary Committee on Health Addressing Human Resources, Programs and Legal Issues",,
PSA0080,Health,General,AAR Hospital Achieves SafeCare Level 5 Certification as Health CS Duale Reinforces Push for Quality and Patient Safety,,
PSA0081,Health,General,AAR Hospital Launch Marks Progress Towards Accessible Healthcare In Kenya,,
PSA0082,Health,General,Activation of Community Health Program to enhance hygiene in public places.,,
PSA0083,Health,General,"1 Proposed Construction of Level 3A Hospital In Khwisero, Kakamega County, For Ministry Of Health",,
PSA0084,Health,General,"1 Provision of Medical Equipment Service, Repair and Maintenance of Medical Equipment Deployed to Selected Hospitals by the Ministry of Health (MOH)",,
PSA0085,Health,Child Protection,Addressing Child Wasting and Malnutrition Crisis in the Horn of Africa: Kenya's Commitment to Action,,
PSA0086,Health,General,ADMINISTRATIVE FRAMEWORK FOR IMPLEMENTATION OF THE MANDATORY INBOUND TRAVEL HEALTH INSURANCE PROGRAM,,
PSA0087,Health,General,Advancing Healthcare Through Laboratories: Kenya's Path to Universal Health Coverage,,
PSA0088,Health,General,Advancing Implementation of the Electronic Community Health Information System (E-CHIS),,
PSA0089,Health,General,Advocating for Increased Resources to Enhance Preventive and Promotive Health Programs,,
PSA0090,Health,General,UPDATED HEALTH MEASURES TO ENTER VARIOUS COUNTRIES (6th May 2022),,
PSA0091,Health,COVID-19,ADDENDUM – Covid-19 Antigen Rapid Diagnostic Testing Interim Guide – Kenya January 2021,,
PSA0092,Health,COVID-19,A Comprehensive Guide on Mental Health & Psychosocial Support during Covid-19 Pandemic,,
PSA0093,Health,COVID-19,Covid-19 vaccination outreach sites for the ongoing accelerated campaign,,
PSA0094,Health,COVID-19,COVID-19 PCR LABS TRAINED ON TRUSTED TRAVEL AS AT 21.09.2021,,
PSA0095,Health,COVID-19,COVID-19 Outbreak in Kenya Daily Report SITREP- 22-April-2021,,
PSA0096,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-132 27-Jul-2020,,
PSA0097,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-131 26-Jul-2020,,
PSA0098,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-130 25-Jul-2020,,
PSA0099,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 16TH MAY 2022,,
PSA0100,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 15TH MAY 2022,,
PSA0101,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 14TH MAY 2022,,
PSA0102,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 13TH MAY 2022,,
PSA0103,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 12TH MAY 2022,,
PSA0104,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 11TH MAY 2022,,
PSA0105,Civic Education,General,Launch of Pre-Election Disputes Resolution Report for 2022 General Election and Case Digest for 2022 General Election,,
PSA0106,Civic Education,General,Launch of Pre-Election Disputes Resolution Report for 2022 General Election & Case Digest for 2022 General Election,,
PSA0107,Civic Education,General,Path to the Polls : Electoral Integrity Through Justice and Dispute Resolution.,,
PSA0108,Civic Education,General,IEBC Launches Strategic Plan 2024 2029 and Election Operations Plan 2025 2027,,
PSA0109,Civic Education,General,Launch of the Strategic Plan 2024 2029 and Election Operations Plan 2025 2027,,
PSA0110,Civic Education,Voting,RESUMPTION OF CONTINUOUS VOTER REGISTRATION AND COMMENCEMENT OF ENHANCED CONTINUOUS VOTER REGISTRATION,,
PSA0111,Civic Education,General,"NOMINATED CANDIDATES FOR PURPOSES OF THE BY-ELECTIONS FOR MEMBER OF NATIONAL ASSEMBLY FOR OL KALOU CONSTITUENCY, NYANDARUA COUNTY SCHEDULED TO BE HELD ON THURSDAY, 16TH JULY, 2026",,
PSA0112,Civic Education,Voting,"CERTIFYING THAT THE REVISION OF THE REGISTER OF VOTERS HAS BEEN COMPLETED FOR PURPOSES OF THE 14TH JULY, 2026 BY-ELECTIONS",,
PSA0113,Civic Education,General,"DECLARATION OF PERSONS ELECTED IN THE BY-ELECTIONS HELD ON 14TH MAY, 2026",,
PSA0114,Civic Education,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By-Elections for Member of National Assembly for Olkalou Constituency, Nyandarua County Scheduled to be held on Thursday, 16th July, 2026",,
PSA0115,Civic Education,General,"Tallying Centres for The By-Elections Scheduled to be held on 14th May, 2026",,
PSA0116,Civic Education,General,"Nominated Candidates for Purposes of the By-Elections for Member of National Assembly for Emurua Dikirr Constituency and Members of the County Assemblies for Porro Ward in Samburu West Constituency, Samburu County And Endo Ward in Marakwet East Constituency, Elgeyo Marakwet County Scheduled to be held on Thursday, 14th May, 2026",,
PSA0117,Civic Education,Voting,"Certifying that the Revision of the Register of Voters Has Been Completed for Purposes of the 14th May, 2026 By-Elections",,
PSA0118,Civic Education,General,"By-Election For Member of National Assembly for Ol Kalou Constituency, Nyandarua County Scheduled to be held on Thursday, 16th July, 2026.",,
PSA0119,Civic Education,General,"By-elections for Member of County Assembly for porro Ward in Samburu West Constituency, Samburu County and Endo ward in Marakwet East Constituency Elgeyo/Marakwet county and Member of National Assembly, Emurua Dikirr Constituency, Narok County scheduled to be held on Thursday, 14th May, 2026.",,
PSA0120,Civic Education,General,"3105 - Declaration of Persons Elected in the By-Elections Held on 26th February, 2026",,
PSA0121,Civic Education,General,"Nominated Candidates for Purposes of the By-Elections for Member of National Assembly for Isiolo South Constituency and Members of the County Assemblies for Muminji Ward and Evurore Ward, in Mbeere North Constituency–Embu County and West Kabras Ward in Malava Constituency–Kakamega County Scheduled to be held on Thursday 26th February, 2026",,
PSA0122,Civic Education,Voting,"Certifying that the Revision of the Isiolo South Constituency Register of Voters has been Completed for purposes of the 26th February, 2026 By-Election",,
PSA0123,Civic Education,General,"Polling Stations for the 26th February, 2026 By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County",,
PSA0124,Civic Education,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County, Scheduled to be held on Thursday, 26th February, 2026.",,
PSA0125,Civic Education,General,"Names and Symbols of Independent Candidates for the By–Elections Scheduled to be held on 26th February, 2026",,
PSA0126,Civic Education,General,"By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County Scheduled to be held on Thursday 26th February, 2026.",,
PSA0127,Civic Education,General,"Declaration of persons elected in the by-elections held on the 27th November, 2025",,
PSA0128,Civic Education,General,"Corrigenda - Polling Stations for the 27th November, 2025 By-Elections",,
PSA0129,Civic Education,General,"Tallying Centres for the By-elections Scheduled to be held on 27th November, 2025",,
PSA0130,Civic Education,General,"Declaration of No Contest for members of Tembelio and Metkei Wards in the By –Elections scheduled to be held on 27th November, 2025",,
PSA0131,Civic Education,General,"Directives on Handling Pre-Election Disputes Relating to the By-Elections Scheduled to be Held on 27th November, 2025",,
PSA0132,Civic Education,General,"Names and Symbols of Independent Candidates for the By–Elections Scheduled to be Held on 27th November, 2025",,
PSA0133,Civic Education,Voting,Commencement of Continuous Registration of Citizens as Voters and the Regular Revision of the Voters’ Roll,,
PSA0134,Civic Education,General,"By-Elections For Member of Senate-Baringo County, Members of the National Assembly for Banissa, Kasipul, Magarini, Malava, Mbeere North and Ugunja Constituencies and Member of Kabuchai/Chwele County Assembly Ward in Bungoma County Scheduled to be held on 27th November, 2025",,
PSA0135,Civic Education,General,"Members of County Assemblies: Angata Nanyokie Ward in Samburu County, Chemundu/Kapng’etuny Ward in Nandi County, Chewani Ward in Tana River County, Fafi Ward in Garissa County, Kariobangi North Ward in Nairobi City County, Kisa East Ward in Kakamega County, Metkei Ward in Elgeyo Marakwet County, Mumbuni North Ward in Machakos County, Narok Town Ward in Narok County, Purko Ward in Kajiado County, Tembelio Ward in Uasin Gishu County, Nyansiongo, Nyamaiya, Ekerenyo Wards in Nyamira County, Lake Zone and Nanaam Wards in Turkana County (16).",,
PSA0136,Civic Education,General,"Declaration of Persons Elected as Member Of Senate, Bungoma County and Members Of County Assemblies for Kyoome/Thaana Ward, Kitui County, Oloimasani Ward, Narok County, Mumias North Ward, Kakamega County, South Gem Ward, Siaya County and Utawala Ward, Nairobi City County, Respectively, during the By-elections held on 8th December, 2022",,
PSA0137,Civic Education,General,"Declaration of Persons Elected in the By-elections held on 5th January, 2023",,
PSA0138,Civic Education,General,"Polling Stations for the By--elections Scheduled to be held on 5th January, 2023 for Member of the Senate Elgeyo Marakwet, Member of National Assembly for Garissa Township and Kandara Constituencies, and Member of County Assembly Shella Ward in Lamu County",,
PSA0139,Civic Education,General,"Tallying Centres for the By-­elections Scheduled to be held on 5th January, 2023",,
PSA0140,Civic Education,General,"Corrigenda - Tallying Centre for the By-election scheduled to be held on 8th December, 2022",,
PSA0141,Civic Education,General,"Appointment of County and Constituency Returning Officers for Purposes of the By-elections Scheduled to be held on 5th January, 2023",,
PSA0142,Civic Education,General,"Names and Symbols of Independent Candidates for Purposes of the Parliamentary By–Election of Member of the Senate – Elgeyo Marakwet County and Members of the National Assembly for Kandara and Garissa Township Constituencies Scheduled to be held on 5th January, 2023",,
PSA0143,Civic Education,General,"Tallying Centre for the By-Election Scheduled to be held on 8th December, 2022",,
PSA0144,Civic Education,Voting,"Certifying the Completion of Revision of the Register of Voters for By-Election Scheduled to be held on 8th December, 2022 In Bungoma County, Utawala, Ololmasani, Kyome/Thaana, South Gem and Mumias North Wards in Nairobi City, Narok, Kitui, Siaya and Kakamega Counties Respectively",,
PSA0145,Civic Education,General,"Polling Stations for the By-Election Scheduled to be held on 8th December, 2022 In Bungoma County, Utawala, Ololmasani, Kyome/Thaana, South Gem and Mumias North Wards in Nairobi City, Narok, Kitui, Siaya and Kakamega Counties Respectively",,
PSA0146,Civic Education,General,"By-Elections for Members of National Assembly, Kandara and Garissa Township Constituencies, Member of Senate, Elgeyo Marakwet County and Member for Shella Ward, Lamu County Assembly Scheduled to be held on Thursday, 5th January, 2023",,
PSA0147,Civic Education,General,"Names and Symbols of Independent Candidates for Purposes of the By–Election of Member of the Senate, Bungoma County Scheduled to be held on 8th December, 2022",,
PSA0148,Civic Education,General,"Appointment of County and Constituency Returning Officers for Purposes of the By-elections Scheduled to be held on 8th December, 2022",,
PSA0149,Civic Education,General,"By-Election for Ololmasani, Kyome/Thaana, Utawala, Mumias North and South Gem Wards in Narok, Kitui, Nairobi City, Kakamega and Siaya County Assemblies, Respectively, Scheduled to be held on 8th December, 2022",,
PSA0150,Civic Education,General,"Parliamentary By-election for Member of the Senate, Bungoma County Scheduled to be held on 8th December, 2022",,
PSA0151,Civic Education,General,"Declaration of Persons Elected in the Postponed Elections Held on 29th August, 2022",,
PSA0152,Civic Education,Voting,"Voter Polling Stations for Purposes of the Postponed Elections Scheduled to be Held on 29th August, 2022",,
PSA0153,Civic Education,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the Postponed Election Scheduled to be held on 29th August, 2022",,
PSA0154,Civic Education,General,"Tallying Centres for the Postponed Elections Scheduled to be held on 29th August, 2022",,
PSA0155,Civic Education,General,Appointment of Second Deputy Constituency Returning Officers for the General Election,,
PSA0156,Civic Education,Voting,"Election Result Path, Complimentary Mechanism for Result Transmission and Voting Time for Kenyan Voters Residing Outside the Country for the General Election Scheduled to be held on 9th August, 2022.",,
PSA0157,Civic Education,General,"Names and Symbols of Persons of Independent Candidates Scheduled to Participate in the Commission Nominations for the General Election Scheduled to be held on 9th August, 2022",,
PSA0158,Civic Education,General,"Directives of Handling the Election Result Forms at the Polling Stations for the General Election Scheduled to be held on 9th August, 2022",,
PSA0159,Civic Education,General,"Corrigenda - Polling Stations for the 9th August, 2022 General Election",,
PSA0160,Civic Education,Voting,"Corrigenda - Certifying that the Revision of the Register of Voters has been completed for Purposes of the 9th August, 2022 General Election",,
PSA0161,Civic Education,General,Corrigenda - Appointment of County and Constituency Deputy Constituency Returning Officers for the General Election Scheduled to be held on 9th August 2022,,
PSA0162,Civic Education,General,"Corrigenda - Nominated Candidates for the 9th August, 2022 General Election –",,
PSA0163,Civic Education,General,Appointment of Second Deputy Constituency Returning Officers for the General Election Scheduled to be held on 9th August 2022,,
PSA0164,Civic Education,General,"7996 Polling Stations for the 9th August, 2022 General Election",,
PSA0165,Civic Education,General,"Appointment of County and Constituency Returning Officers for the General Election Scheduled to be held on 9th August, 2022 - Corrigenda",,
PSA0166,Civic Education,Voting,"Certifying that the Revision of the Register of Voters has been Completed for Purposes of the 9th August, 2022 General Election",,
PSA0167,Civic Education,General,"Appointment of County and Constituency Returning Officers for the General Election Scheduled to be held on 9th August, 2022",,
PSA0168,Civic Education,General,"Appointment of Nyeri County Returning Officer for Purposes of Nominating Candidates for the General Election Scheduled to be held on 9th August, 2022",,
PSA0169,Civic Education,General,"General Election scheduled to be held on 9th August, 2022",,
PSA0170,Civic Education,General,Officers for the General Election scheduled to be held on,,
PSA0171,Civic Education,Voting,Suspension of continuous voter registration availability of the register of voters for verification,,
PSA0172,Civic Education,General,Election for the County Woman Member to the National Assembly,,
PSA0173,Civic Education,Voting,The Election (Registration of Voters) Regulations,,
PSA0174,Civic Education,Voting,The Election (Registration of Voters) Regulations Appointment of Registration Officers and Assistant Officers,,
PSA0175,Civic Education,Voting,Corrigenda - The Election (Registration of Voters) Regulations - Registration Centres,,
PSA0176,Civic Education,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By–election of Member of Mahoo Ward in Taita Taveta County Assembly Scheduled to be held on 16th December, 2021",,
PSA0177,Civic Education,General,"Declaration of Persons Elected as Members of County Assemblies for Kiagu and Mahoo Wards in Meru and Taita Taveta County Assemblies, respectively, during the By-elections held on 16th December, 2021",,
PSA0178,Civic Education,Voting,Certifying the Completion of Revision of the Register of Voters for Member of Mahoo County Assembly Ward in,,
PSA0179,Civic Education,Voting,Voter polling Stations for the Member of Mahoo County assembly Ward in Taita Taveta,,
PSA0180,Civic Education,General,"Nominated Candidates for the By-Election of Member of County Assembly for Mahoo Ward in Taita Taveta County Assembly Scheduled to be held on 16th December, 2021",,
PSA0181,Civic Education,General,"Tallying Centre for the By-Election of Member of County Assembly for Mahoo Ward in Taita Taveta County Assembly Scheduled to be held on 16th December, 2021",,
PSA0182,Civic Education,General,"Date of by-election for Member of the County Assembly for Kiagu Ward- Meru County scheduled to be held on 16th December, 2021.",,
PSA0183,Civic Education,General,"Declaration of the Person Elected as Member of Nguu/Masumba Ward in Makueni County Assembly during the By- election Held on 14th October, 2021.",,
PSA0184,Civic Education,General,"Revocation of the Notice of Contributions and Spending Limits for Political Parties and Candidates for Purposes of the General Election Scheduled to be held on 9th August, 2022",,
PSA0185,Civic Education,General,"By-election for Member of the County Assembly for Mahoo Ward in Taita Taveta County Assembly Scheduled to be held on 16th December, 2021.",,
PSA0186,Civic Education,General,"Declaration of No Contest for Eldas Ward Wajir County Assembly By-election Scheduled to be held on 14th October, 2021",,
PSA0187,Civic Education,Voting,"Certifying that the Revision of the Register of Voters for the By-Elections Scheduled to be held on 14th October, 2021 has been completed",,
PSA0188,Civic Education,Voting,"Voter Polling Stations for the By-elections Scheduled to be held on 14th October, 2021",,
PSA0189,Civic Education,General,"Tallying Centres for the By-Elections Scheduled to the held on 14th October, 2021",,
PSA0190,Civic Education,General,Spending Limits for Political parties and candidates for purposes of General Elections,,
PSA0191,Civic Education,General,"Corrigenda - Appointment of Returning and Deputy Returning Officers for Purposes of the By–elections Of Members of Eldas, Kiagu and Nguu/Masumba Wards of Wajir, Meru and Makueni County Assemblies scheduled to be held on 14th October, 2021",,
PSA0192,Civic Education,General,"Declaration of Persons Elected as Member of the National Assembly for Kiambaa Constituency and Member for Muguga Ward, Kiambu County Assembly during the By-Elections held on 15th July, 2021",,
PSA0193,Civic Education,General,"By-elections for Members of the County Assemblies for Eldas, Kiagu and Nguu/Masumba Wards in Wajir, Meru and Makueni County Assemblies to be held on 14th October, 2021",,
PSA0194,Civic Education,Voting,"Certifying the Completion of Revision of the Register of Voters,",,
PSA0195,Civic Education,General,"Tallying Centres for the By-Election Scheduled to be held on 15th July, 2021",,
PSA0196,Civic Education,General,4598 - The Judgment in the Political Parties Disputes Tribunal at Nairobi Complaint No.,,
PSA0197,Civic Education,General,"Names and Symbols of Persons Intending to Contest as Independent Candidates for the By-election of Member of the National Assembly for Kiambaa Constituency, scheduled on 15th July, 2021",,
PSA0198,Civic Education,General,"4402 - Tallying Centres for the By-Elections Scheduled for Members of the National Assembly for Juja and Bonchari Constituencies and Member of Nyandarua County Assembly Rurii Ward Scheduled to be held on 18th May, 2021",,
PSA0199,Civic Education,Voting,"Notice Certifying the Completion of Revision of the Register of Voters for Members of the National Assembly-Juja and Bonchari Constituencies and Rurii County Assembly Ward for the By-Elections Scheduled to be held on 18th May, 2021",,
PSA0200,Civic Education,General,"8543 - Declaration of Persons Elected as Member of the National Assembly, Baringo South Constituency and County Assembly Members for North Kadem and Bobasi Chache Wards in Migori and Kisii County Assemblies Respectively, during the by–election held on 17th August, 2018",,
PSA0201,Civic Education,General,"11970 - Declaration of Person Elected as Member for Batalu Ward in Wajir County Assembly after the By-Election Held on 18th December, 2019",,
PSA0202,Civic Education,General,"10054 - Declaration of Persons Elected as Members for Ganda, Abakaile, Loiyangalani and Mutonguni Wards in Kilifi, Garissa, Marsabit and Kitui County Assemblies, Respectively, after the by-elections held on 17th October, 2019",,
PSA0203,Civic Education,General,"10913 - Declaration of Persons Elected as Member of the National Assembly, Msambweni Constituency and Members of County Assembly for Kahawa Wendani, Kisumu North, Dabaso, Wundanyi/ Mbale, Gaturi and Lake View Wards in Kiambu, Kisumu, Kilifi, Taita Taveta, Murang’a and Nakuru County Assemblies Respectively During the by– Elections Held on 15th December, 2020.",,
PSA0204,Civic Education,General,"11488 - Declaration of Person Elected as Member of the National Asssembly Kitutu Chache South Constituency and Persons Elected as Members of the County Assemblies; Masalani and Bogichora Wards in Garissa and Nyamira County Assemblies Respectively during the by–Election held on the 7th November, 2017",,
PSA0205,Civic Education,General,"4000 -Parliamentary and County Assembly By-Elections of Member of the National Assembly, Kiambaa Constituency and Member of County Assembly, Muguga Ward, Kiambu County, Respectively, Scheduled to be held on 15th July, 2021",,
PSA0206,Civic Education,General,"3189 - Declaration of No Contest for Garissa Senate By–Election Scheduled To Be Held On 18th May, 2021",,
PSA0207,Civic Education,General,"2750 - Declaration of the Person Elected as Member of the Senate, Machakos County During the By-election held on 18th March, 2021",,
PSA0208,Civic Education,General,"Names and Symbols of Independent Candidates to Participate in the By- Elections for Purposes of the By–elections of Member of the Senate –Garissa County, Members of National Assembly Bonchari and Juja Constituencies and Member of Nyandarua County Assembly for Rurii Ward Scheduled To Be Held On 18th May, 2021.",,
PSA0209,Civic Education,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By–elections of Member of the Senate, Garissa County and Members of National Assembly Bonchari and Juja Constituencies and Member of Nyandarua County Assembly for Rurii Ward Scheduled To Be Held On 18th May, 2021.",,
