PSA_Id,Domain,Class,English,Kiswahili,Dholuo
3830,Health,COVID-19,Covid-19 vaccination outreach sites for the ongoing accelerated campaign,Maeneo ya kufikia chanjo ya Covid-19 kwa kampeni inayoharakishwa inayoendelea,Kuonde mag chiwo chanjo mar Covid-19 ne kampen ma dhi nyime mar mapiyo
3831,Health,COVID-19,COVID-19 PCR LABS TRAINED ON TRUSTED TRAVEL AS AT 21.09.2021,MAABARA YA COVID-19 PCR YALIYOFUNZWA KWA USAFIRI UNAOAMINIWA MNAMO TAREHE 21.09.2021,LABO MAR PCR MAR COVID-19 OPUONJI E WUOTH MOGINE CHIEKO TAR 21.09.2021
3832,Health,COVID-19,COVID-19 Outbreak in Kenya Daily Report SITREP- 22-April-2021,Mlipuko wa COVID-19 nchini Kenya Ripoti ya Kila Siku SITREP- 22-Aprili-2021,Tuwo mar COVID-19 e piny Kenya Ripot ma pile ka pile mar SITREP- 22-Ang'wen-2021
3833,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-132 27-Jul-2020,Mlipuko wa COVID-19 nchini Kenya Ripoti ya Kila siku SITREP-132 27-Jul-2020,Tuwo mar COVID-19 e piny Kenya Ripot ma pile ka pile
3834,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-131 26-Jul-2020,Mlipuko wa COVID-19 nchini Kenya Ripoti ya kila siku SITREP-131 26-Jul-2020,Tuwo mar COVID-19 e piny Kenya Ripot ma pile pile mar SITREP-131 tarik 26 dwe mar Jula-2020
3835,Health,COVID-19,COVID-19 Outbreak in Kenya Daily report SITREP-130 25-Jul-2020,Mlipuko wa COVID-19 nchini Kenya Ripoti ya Kila siku SITREP-130 25-Jul-2020,Tuwo mar COVID-19 e piny Kenya Ripot ma pile ka pile
3836,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 16TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA WIZARA YA KENYA COVID-19 TAREHE 16 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO MAR CHOKO MAR TUDO MAR TAR 16 MAR ABICH 2022
3837,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 15TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 15 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO TUO GI COVID-19 MAR KENYA MAR CHIENG' TAR 15 MAR ABICH 2022
3838,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 14TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 14 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO MAR CHOKO MAR TUDO MAR KENYA TAR 14 MAR ABICH 2022
3839,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 13TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 13 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO MAR CHOKO MAR TUDO MAR TUDO MAR KENYA TAR 13 MAR ABICH 2022
3840,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 12TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 12 MEI 2022,RIPOT MAR CHALO MAR CHOTH TUO MAR CHOKO MAR TUDO MAR KENYA TAR 12 MAR ABICH 2022
3841,Health,COVID-19,MINISTRY OF HEALTH KENYA COVID-19 IMMUNIZATION STATUS REPORT 11TH MAY 2022,RIPOTI YA HALI YA CHANJO YA WIZARA YA AFYA KENYA COVID-19 TAREHE 11 MEI 2022,RIPOOT MAR CHALO MAR CHOTH TUO TUO GI COVID-19 MAR MINISTER MAR CHITHO MAR KENYA TAR 11 MAR ABICH 2022
3842,Governance,General,Launch of Pre-Election Disputes Resolution Report for 2022 General Election and Case Digest for 2022 General Election,Uzinduzi wa Ripoti ya Utatuzi wa Mizozo ya Kabla ya Uchaguzi kwa Uchaguzi Mkuu wa 2022 na Muhtasari wa Kesi ya Uchaguzi Mkuu wa 2022,Ochako Ripot mar Tieko Ywak Kapok Yiero Maduong' mar 2022 kod kwan mar kes mag Yiero Maduong' mar 2022
3843,Governance,General,Launch of Pre-Election Disputes Resolution Report for 2022 General Election & Case Digest for 2022 General Election,Uzinduzi wa Ripoti ya Utatuzi wa Mizozo ya Kabla ya Uchaguzi kwa Uchaguzi Mkuu wa 2022 na Muhtasari wa Kesi kwa Uchaguzi Mkuu wa 2022,Ochako Ripot mar Tieko Ywak Kapok Yiero Maduong' mar 2022 & Digest mar Kes mag Yiero Maduong' mar 2022
3844,Governance,General,Path to the Polls : Electoral Integrity Through Justice and Dispute Resolution.,Njia ya Kupiga Kura : Uadilifu wa Uchaguzi Kupitia Haki na Utatuzi wa Migogoro.,Yo mar dhi e yiero : Rieko mar yiero kokalo kuom bura makare kod loso ywak.
3845,Governance,General,IEBC Launches Strategic Plan 2024 2029 and Election Operations Plan 2025 2027,IEBC Yazindua Mpango Mkakati 2024 2029 na Mpango wa Uendeshaji wa Uchaguzi 2025 2027,IEBC Ochako Chenro Maduong' mar 2024 2029 kod Chenro mar Tich mar Yiero 2025 2027
3846,Governance,General,Launch of the Strategic Plan 2024 2029 and Election Operations Plan 2025 2027,Uzinduzi wa Mpango Mkakati wa 2024 2029 na Mpango wa Uendeshaji wa Uchaguzi 2025 2027,Chakruok mar chenro mar tich mar 2024 2029 kod chenro mar tiyo gi yiero 2025 2027
3847,Governance,Voting,RESUMPTION OF CONTINUOUS VOTER REGISTRATION AND COMMENCEMENT OF ENHANCED CONTINUOUS VOTER REGISTRATION,KURUDISHA UANDIKISHAJI UNAOENDELEA WA WAPIGA KURA NA KUANZA KWA IMARA YA UANDIKISHAJI UNAOENDELEA WA WAPIGA KURA.,CHAKO DUEGI NDIKO NYING’ JOGO GOYO BULURO KOD CHAKO NYIENG’ NYING’I JOGO GOYO BULURO MOMEDO MEDO
3848,Governance,General,"NOMINATED CANDIDATES FOR PURPOSES OF THE BY-ELECTIONS FOR MEMBER OF NATIONAL ASSEMBLY FOR OL KALOU CONSTITUENCY, NYANDARUA COUNTY SCHEDULED TO BE HELD ON THURSDAY, 16TH JULY, 2026","WAGOMBEA WALIOTEULIWA KWA MADHUMUNI YA UCHAGUZI MDOGO WA MJUMBE WA BUNGE LA KITAIFA JIMBO LA OL KALOU, KATA YA NYANDARUA ULIORADIKIWA KUFANYIKA ALHAMISI, TAREHE 16 JULAI, 2026.","JO MOKETI MOTIMORE GI YIER MAR BEDO MAR BEDO MAR BEDO MAR BEDO MAR BEDO MAR BEDO MAR OL KALOU, COUNTY NYANDRUA MANE OKETO TIMORE CHIENG’ ANG’UCH TAR 12, TAR 12, 2020"
3849,Governance,Voting,"CERTIFYING THAT THE REVISION OF THE REGISTER OF VOTERS HAS BEEN COMPLETED FOR PURPOSES OF THE 14TH JULY, 2026 BY-ELECTIONS","KUTHIBITISHA KUWA USAHIHISHAJI WA DAFTARI LA WAPIGA KURA UMEKIKAMILIKA KWA MADHUMUNI YA UCHAGUZI MDOGO WA TAREHE 14 JULAI, 2026.",NYIYO NI LOKO REJISTA MAR JOGO MAR YIER OSETIEKO MOTIMORE MOTIMORE E YIER MAR 14 JULAYI 2026
3850,Governance,General,"DECLARATION OF PERSONS ELECTED IN THE BY-ELECTIONS HELD ON 14TH MAY, 2026","TANGAZO LA WATU WALIOCHAGULIWA KATIKA UCHAGUZI MDOGO ULIOFANYIKA TAREHE 14 MEI, 2026.",WECHE MAR JOMA NE YIER E YIER MA NE TIMORE CHIENG’ 14 MAR AB’ICH 2026
3851,Governance,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By-Elections for Member of National Assembly for Olkalou Constituency, Nyandarua County Scheduled to be held on Thursday, 16th July, 2026","Uteuzi wa Wasimamizi wa Uchaguzi na Manaibu Wasimamizi wa Uchaguzi kwa Madhumuni ya Uchaguzi Mdogo wa Mbunge wa Jimbo la Olkalou, Kaunti ya Nyandarua Uliopangwa kufanyika Alhamisi, Julai 16, 2026.","Oketo jotelo mabiro yiero kod jotelo ma luwogi mondo otim yiero mabiro timore mar Jatend Bura mar Pinyruoth e Distrikt mar Olkalou, e Distrik mar Nyandarua."
3852,Governance,General,"Tallying Centres for The By-Elections Scheduled to be held on 14th May, 2026","Vituo vya Kujumuika kwa ajili ya Uchaguzi Mdogo Uliopangwa kufanyika tarehe 14 Mei, 2026.",Kuonde mag kwano yiero mabiro timore tarik 14 dwe mar abich higa mar 2026
3853,Governance,General,"Nominated Candidates for Purposes of the By-Elections for Member of National Assembly for Emurua Dikirr Constituency and Members of the County Assemblies for Porro Ward in Samburu West Constituency, Samburu County And Endo Ward in Marakwet East Constituency, Elgeyo Marakwet County Scheduled to be held on Thursday, 14th May, 2026","Wagombea Walioteuliwa kwa Madhumuni ya Uchaguzi Mdogo wa Mbunge wa Kitaifa wa Eneobunge la Emurua Dikirr na Wabunge wa Mabunge ya Kaunti ya Wadi ya Porro katika Eneo Bunge la Samburu Magharibi, Kaunti ya Samburu na Wadi ya Endo katika Eneobunge la Marakwet Mashariki, Kaunti ya Elgeyo Marakwet iliyoratibiwa kufanyika Mei 26, Alhamisi, Mei 26,","Jotelo ma ochung’ ne yiero mabiro timore mar bedo jokanyo mag bura mar piny owacho mar Emurua Dikirr kod jokanyo mag bura mar piny owacho mar Porro e bura mar Samburu ma milambo, bura mar Samburu kod bura mar Endo e bura mar Marakwet ma yo wuok chieng’, bura mar Elgeyo Marakwet."
3854,Governance,Voting,"Certifying that the Revision of the Register of Voters Has Been Completed for Purposes of the 14th May, 2026 By-Elections","Kuthibitisha kwamba Marekebisho ya Daftari la Wapiga Kura Yamekamilika kwa Madhumuni ya Uchaguzi Mdogo wa Tarehe 14 Mei, 2026.",Kuong’o ni Loso Rejista mar Jogo Obolo Ombulu Otieko mondo otimre yiero mabiro bedo tarik 14 dwe mar abich higa mar 2026
3855,Governance,General,"By-Election For Member of National Assembly for Ol Kalou Constituency, Nyandarua County Scheduled to be held on Thursday, 16th July, 2026.","Uchaguzi Mdogo wa Mbunge wa Kitaifa wa Eneo Bunge la Ol Kalou, Kaunti ya Nyandarua Umeratibiwa kufanywa Alhamisi, Julai 16, 2026.","16:10, 11. 2026, 2026, 2026, 16:10, 11."
3856,Governance,General,"By-elections for Member of County Assembly for porro Ward in Samburu West Constituency, Samburu County and Endo ward in Marakwet East Constituency Elgeyo/Marakwet county and Member of National Assembly, Emurua Dikirr Constituency, Narok County scheduled to be held on Thursday, 14th May, 2026.","Uchaguzi mdogo wa Mbunge wa Kaunti ya Wadi ya Porro katika Eneo Bunge la Samburu Magharibi, Kaunti ya Samburu na wadi ya Endo katika eneo bunge la Marakwet Mashariki Kaunti ya Elgeyo/Marakwet na Mbunge wa Emurua Dikirr, Kaunti ya Narok umeratibiwa kufanywa Alhamisi, Mei 14, 2026.","<2Zepa> Oyier mar ng’ado bura mar bedo jatend bura mar porro e gweng’ mar Samburu ma yo podho chieng’, gweng’ mar Samburu kod gweng’ mar Endo e gweng’ mar Elgeyo/Marakwet kod jatend bura mar pinyno e gweng’ mar Emurua Dikirr, gweng’ mar Narok, ne oket mondo otimre e odiechieng’ mar ang’wen tarik 14 dwe mar abich higa mar 2019."
3857,Governance,General,"3105 - Declaration of Persons Elected in the By-Elections Held on 26th February, 2026","3105 - Tamko la Watu Waliochaguliwa Katika Uchaguzi Mdogo Uliofanyika tarehe 26 Februari, 2026",3105 - Lero mar Joma Oyier e Yiero Matin ma Ne Otim tarik 26 dwe mar ariyo higa mar 2026
3858,Governance,General,"Nominated Candidates for Purposes of the By-Elections for Member of National Assembly for Isiolo South Constituency and Members of the County Assemblies for Muminji Ward and Evurore Ward, in Mbeere North Constituency–Embu County and West Kabras Ward in Malava Constituency–Kakamega County Scheduled to be held on Thursday 26th February, 2026","Wagombea Walioteuliwa kwa Madhumuni ya Uchaguzi Mdogo wa Mbunge wa Isiolo Kusini na Wabunge wa Mabunge ya Kaunti ya Wadi ya Muminji na Wadi ya Evurore, Jimbo la Mbeere Kaskazini-Kaunti ya Embu na Wadi ya Kabras Magharibi katika Eneobunge la Malava-Kaunti ya Kakamega Iliyoratibiwa tarehe 26 Februari, Alhamisi Februari 26.","Jotelo ma ochung’ ne yiero mabiro timore mar bedo jokanyo mag bura mar piny owacho mar Isiolo ma milambo kod jokanyo mag bura mar piny owacho mar gweno mar Muminji kod gweno mar Evurore, e gwenge mar Mbeere ma nyandwat–gwenge ma Embu kod gwenge ma milambo mar Kabras e gwenge ma Malava–gwenge ma kakamega Oketo ni obed tarik 2020."
3859,Governance,Voting,"Certifying that the Revision of the Isiolo South Constituency Register of Voters has been Completed for purposes of the 26th February, 2026 By-Election","Kuthibitisha kwamba Marekebisho ya Rejista ya Wapigakura ya Eneo Bunge la Isiolo Kusini yamekamilika kwa madhumuni ya Uchaguzi Mdogo wa tarehe 26 Februari, 2026.",Kuong’o ni loso mar kwan mar jogo ma dhi goyo ombulu e gwenge mag Isiolo ma milambo osetieko mondo otim yiero mabiro e tarik 26 dwe mar ariyo higa mar 2026
3860,Governance,General,"Polling Stations for the 26th February, 2026 By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County","Vituo vya Kupigia Kura kwa Uchaguzi Mdogo wa Februari 26, 2026 kwa Mbunge wa Isiolo Kusini na Mbunge wa Wadi ya Muminji na Wadi ya Evurore, Eneo bunge la Mbeere Kaskazini, Kaunti ya Embu na Wadi ya Kabras Magharibi, Eneo Bunge la Malava, Kaunti ya Kakamega.","2026, 2026, yiero ma ng’ato nyalo timo mar bedo jatend bura mar piny owacho mar Isiolo ma milambo kod jatend bura mar piny owacho mar gwenge mar Muminji kod gwenge mar Evurore, gwenge mag Mbeere ma nyandwat, gwenge mag Embu kod gwenge mag Kabras ma milambo, gwenge mag Malava, gwenge mag Kakamega"
3861,Governance,General,"Appointment of Returning and Deputy Returning Officers for Purposes of the By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County, Scheduled to be held on Thursday, 26th February, 2026.","Uteuzi wa Wasimamizi wa Uchaguzi na Manaibu Wasimamizi wa Uchaguzi kwa Madhumuni ya Uchaguzi Mdogo wa Mbunge wa Jimbo la Isiolo Kusini na Mbunge wa Kaunti ya Wadi ya Muminji na Wadi ya Evurore, Eneobunge la Mbeere Kaskazini, Kaunti ya Embu na Wadi ya Kabras Magharibi, Eneobunge la Malava, Kaunti ya Kakamega hadi 2 Februari, Ratiba ya 2 Februari 20.","10:10, 11. 2026."
3862,Governance,General,"Names and Symbols of Independent Candidates for the By–Elections Scheduled to be held on 26th February, 2026","Majina na Alama za Wagombea Huru wa Uchaguzi Mdogo Uliopangwa kufanyika tarehe 26 Februari, 2026.",Nying’ kod Ranyisi mag Jotelo mabiro bedo e yiero mabiro timore tarik 26 dwe mar ariyo higa mar 2026
3863,Governance,General,"By-Elections for Member of National Assembly for Isiolo South Constituency and Member of County Assembly for Muminji Ward and Evurore Ward, Mbeere North Constituency, Embu County and West Kabras Ward, Malava Constituency, Kakamega County Scheduled to be held on Thursday 26th February, 2026.","Uchaguzi Mdogo wa Mbunge wa Kitaifa wa Eneobunge la Isiolo Kusini na Mbunge wa Kaunti ya Wadi ya Muminji na Wadi ya Evurore, Eneo Bunge la Mbeere Kaskazini, Kaunti ya Embu na Wadi ya Kabras Magharibi, Eneo Bunge la Malava, Kaunti ya Kakamega Ulioratibiwa kufanywa Alhamisi Februari 26, 2026.","<2Zepa> Yiero matin mar bedo jatend bura mar piny owacho mar Isiolo ma milambo kod jatend bura mar piny owacho e gweng’ mar Muminji kod gweng’ mar Evurore, gweng’ mar Mbeere ma nyandwat, gweng’ mar Embu kod gweng’ mar Kabras ma yo podho chieng’, gweng’ mar Malava, gweng’ mar Kakamega."
3864,Governance,General,"Declaration of persons elected in the by-elections held on the 27th November, 2025","Tamko la watu waliochaguliwa katika uchaguzi mdogo uliofanyika tarehe 27 Novemba, 2025",Oboke mar jogo ma oyier e yiero madongo ma ne otim tarik 27 dwe mar apar gi achiel higa mar 2025
3865,Governance,General,"Corrigenda - Polling Stations for the 27th November, 2025 By-Elections",Corrigenda - Vituo vya Kupigia Kura kwa Uchaguzi Mdogo wa tarehe 27 Novemba 2025,Oboke - Kuonde mag goyo ombulu mag tarik 27 dwe mar apar gi achiel higa mar 2025
3866,Governance,General,"Tallying Centres for the By-elections Scheduled to be held on 27th November, 2025","Vituo vya Kujumuika kwa Uchaguzi Mdogo wa Madiwani Uliopangwa kufanyika tarehe 27 Novemba, 2025.",Kuonde mag kwano yiero madongo ma oket mondo otimre tarik 27 dwe mar apar gi achiel higa mar 2025
3867,Governance,General,"Declaration of No Contest for members of Tembelio and Metkei Wards in the By –Elections scheduled to be held on 27th November, 2025","Tamko la Kutogombea kwa wanachama wa Wadi za Tembelio na Metkei katika Uchaguzi Mdogo unaotarajiwa kufanyika tarehe 27 Novemba, 2025.","2025, 2025, 2025, 2025"
3868,Governance,General,"Directives on Handling Pre-Election Disputes Relating to the By-Elections Scheduled to be Held on 27th November, 2025","Maagizo ya Kushughulikia Migogoro ya Kabla ya Uchaguzi Kuhusiana na Uchaguzi Mdogo Uliopangwa Kufanyika tarehe 27 Novemba, 2025.",Chike mag rito ywak mapok yiero otimre motudore gi yiero mabiro timore tarik 27 dwe mar apar gi achiel higa mar 2025
3869,Governance,General,"Names and Symbols of Independent Candidates for the By–Elections Scheduled to be Held on 27th November, 2025","Majina na Alama za Wagombea Huru wa Uchaguzi Mdogo Uliopangwa Kufanyika tarehe 27 Novemba, 2025.",Nying’ kod Ranyisi mag Jotelo ma Ochung’ Motegno e Yiero Mabiro Timre tarik 27 dwe mar apar gi achiel higa mar 2025
